"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"29-Aug-2024","EQ","3,199.00","3,262.00","3,174.55","3,201.85","3,200.00","3,200.50","3,211.83","3,268.90","1,760.85","11,95,285","3,83,90,56,802.70","92,379"
"28-Aug-2024","EQ","3,225.00","3,248.00","3,191.75","3,229.45","3,191.75","3,201.85","3,216.06","3,268.90","1,760.85","6,70,444","2,15,61,85,827.10","52,032"
"27-Aug-2024","EQ","3,153.90","3,268.90","3,116.00","3,162.15","3,211.05","3,229.45","3,204.57","3,268.90","1,760.85","19,83,161","6,35,51,87,490.75","1,08,084"
"26-Aug-2024","EQ","3,140.00","3,179.75","3,111.00","3,126.55","3,155.00","3,162.15","3,152.25","3,190.00","1,760.85","6,73,210","2,12,21,26,849.75","38,236"
"23-Aug-2024","EQ","3,160.00","3,162.30","3,117.70","3,143.60","3,128.00","3,126.55","3,132.65","3,190.00","1,760.85","4,93,393","1,54,56,26,968.15","33,368"
"22-Aug-2024","EQ","3,165.00","3,166.95","3,123.30","3,159.05","3,149.65","3,143.60","3,146.92","3,190.00","1,760.85","9,22,139","2,90,18,96,931.20","77,431"
"21-Aug-2024","EQ","3,139.95","3,190.00","3,116.85","3,159.85","3,153.00","3,159.05","3,162.23","3,190.00","1,760.85","10,45,406","3,30,58,16,669.80","66,866"
"20-Aug-2024","EQ","3,118.00","3,177.00","3,052.30","3,075.60","3,149.25","3,159.85","3,135.56","3,177.00","1,760.85","24,29,911","7,61,91,36,532.25","1,31,939"
"19-Aug-2024","EQ","3,028.00","3,085.00","3,013.05","2,981.50","3,085.00","3,075.60","3,053.31","3,085.00","1,760.85","18,18,434","5,55,22,35,806.95","94,258"
"16-Aug-2024","EQ","2,913.00","2,991.90","2,902.05","2,895.10","2,970.00","2,981.50","2,958.06","3,059.45","1,760.10","9,95,219","2,94,39,14,431.40","77,624"
"14-Aug-2024","EQ","2,901.00","2,916.60","2,864.00","2,891.35","2,892.00","2,895.10","2,892.34","3,059.45","1,760.10","7,25,225","2,09,75,95,405.00","55,193"
"13-Aug-2024","EQ","2,980.00","2,995.45","2,860.50","2,976.10","2,900.95","2,891.35","2,904.20","3,059.45","1,760.10","14,49,963","4,21,09,86,333.60","1,00,766"
"12-Aug-2024","EQ","2,949.95","3,015.00","2,927.60","2,958.10","2,973.00","2,976.10","2,982.63","3,059.45","1,760.10","11,41,959","3,40,60,36,446.40","86,955"
"09-Aug-2024","EQ","2,910.00","2,973.35","2,880.10","2,872.20","2,955.00","2,958.10","2,944.54","3,059.45","1,760.10","9,13,755","2,69,05,87,022.10","47,215"
"08-Aug-2024","EQ","2,920.00","2,920.00","2,858.60","2,925.05","2,867.50","2,872.20","2,885.16","3,059.45","1,760.10","8,86,810","2,55,85,87,571.55","71,344"
"07-Aug-2024","EQ","2,890.10","2,932.10","2,870.55","2,836.80","2,923.00","2,925.05","2,906.89","3,059.45","1,760.10","7,97,339","2,31,77,78,206.40","62,198"
"06-Aug-2024","EQ","2,920.15","2,940.45","2,825.00","2,891.45","2,842.00","2,836.80","2,859.69","3,059.45","1,760.10","11,83,478","3,38,43,83,429.90","1,07,234"
"05-Aug-2024","EQ","2,876.00","2,941.85","2,808.10","2,992.10","2,880.00","2,891.45","2,885.96","3,059.45","1,760.10","18,96,088","5,47,20,37,609.30","97,593"
"02-Aug-2024","EQ","2,945.00","3,022.90","2,920.00","2,989.25","2,985.00","2,992.10","2,985.81","3,059.45","1,760.10","17,81,041","5,31,78,49,231.85","1,06,159"
"01-Aug-2024","EQ","2,932.90","2,999.00","2,919.95","2,931.95","2,980.00","2,989.25","2,965.27","3,059.45","1,760.10","17,71,944","5,25,42,97,239.80","1,00,578"
"31-Jul-2024","EQ","2,933.90","2,947.05","2,916.05","2,912.05","2,932.05","2,931.95","2,928.46","3,059.45","1,760.10","9,31,158","2,72,68,57,748.15","67,851"
"30-Jul-2024","EQ","2,943.00","2,981.40","2,892.00","2,943.00","2,910.00","2,912.05","2,927.67","3,059.45","1,760.10","18,97,375","5,55,48,88,657.90","1,43,815"
"29-Jul-2024","EQ","2,970.00","3,035.75","2,905.00","2,925.00","2,932.65","2,943.00","2,949.75","3,059.45","1,760.10","25,50,687","7,52,38,98,968.35","1,50,882"
