Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
12-June-2024,585.10,585.10,585.10,584.25,585.100000000000000000,10,1,5851.00,,,0.00,-0.85,@
28-March-2024,585.10,585.10,585.10,591.35,585.000000000000000000,1,1,585.00,,,0.00,6.25,@
