Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
2-April-2024,619.50,620.00,619.50,634.45,619.500000000000000000,2,2,1239.00,,,0.50,14.95,@
28-March-2024,611.00,611.00,610.50,612.30,610.500000000000000000,2,2,1221.00,,,0.50,1.30,@
