Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
2-April-2024,761.00,761.00,761.00,767.35,761.000000000000000000,1,1,761.00,,,0.00,6.35,@
28-March-2024,749.80,749.80,740.00,752.60,747.807692307692307692,26,15,19443.00,,,9.80,2.80,@
