Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
540628,Nippon India Mutual Fund,NXXXIVS8X,NIPPON INDIA MUTUAL FUND  FIXED HORIZON FD XXXIVSR8 DIR DIVPAY 20OT20,Suspended,F ,10.00,INF204KB1PT3, ,MF,-,-,-,-
540630,Nippon India Mutual Fund,NXXXIVS8Z,NIPPON INDIA MUTUAL FUND  FIXED HORIZON FD XXXIVSR8 DIR GROWTH 20OT20,Delisted,F ,10.00,INF204KB1PS5, ,MF,-,-,-,-
540632,Nippon India Mutual Fund,NXXXIVS8D,NIPPON INDIA MUTUAL FUND  FIXED HORIZON FD XXXIVSR8 REG DV PAY 20OT20,Suspended,F ,10.00,INF204KB1PR7, ,MF,-,-,-,-
540633,Nippon India Mutual Fund,NXXXIVS8G,NIPPON INDIA MUTUAL FUND  FIXED HORIZON FD XXXIVSR8 REG GROWTH 20OT20,Delisted,F ,10.00,INF204KB1PQ9, ,MF,-,-,-,-
540638,Nippon India Mutual Fund,NXXXIVS9G,NIPPON INDIA MUTUAL FUND  FIXED HORIZON FD XXXIVSR9 DIR DIVPAY 20AG20,Suspended,F ,10.00,INF204KB1QG8, ,MF,-,-,-,-
540639,Nippon India Mutual Fund,NXXXIVS9D,NIPPON INDIA MUTUAL FUND  FIXED HORIZON FD XXXIVSR9 DIR GROWTH 20AG20,Suspended,F ,10.00,INF204KB1QF0, ,MF,-,-,-,-
540640,Nippon India Mutual Fund,NXXXIVS9Z,NIPPON INDIA MUTUAL FUND  FIXED HORIZON FD XXXIVSR9 REG DV PAY 20AG20,Suspended,F ,10.00,INF204KB1QE3, ,MF,-,-,-,-
540641,Nippon India Mutual Fund,NXXXIVS9X,NIPPON INDIA MUTUAL FUND  FIXED HORIZON FD XXXIVSR9 REG GROWTH 20AG20,Suspended,F ,10.00,INF204KB1QD5, ,MF,-,-,-,-
540643,ICICI Prudential Mutual Fund,IPRU2989,ICICI Prudential Fixed Maturity Plan Series 81-1162 Days Plan P- Cumulative Option,Suspended,F ,10.00,INF109KB13T2, ,MF,-,-,-,-
540644,ICICI Prudential Mutual Fund,IPRU2990,ICICI Prudential Fixed Maturity Plan Series 81-1162 Days Plan P - Dividend Payout,Suspended,F ,10.00,INF109KB14T0, ,MF,-,-,-,-
