Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
717651,Aditya Birla Finance Limited,ABFL281119,Aditya Birla Finance Ltd,Delisted,F ,500000.00,INE860H14O76, ,Commercial Papers,-,-,-,-
717652,NTPC Limited,NTPC291119,NTPC Ltd,Delisted,F ,500000.00,INE733E14625, ,Commercial Papers,-,-,-,-
717653,Indian Oil Corporation Ltd.,IOCLCP20,Indian Oil Corporation Ltd,Delisted,F ,500000.00,INE242A14OM9, ,Commercial Papers,-,-,-,-
717654,Indian Oil Corporation Ltd.,IOCL61219,Indian Oil Corporation Ltd,Delisted,F ,500000.00,INE242A14ON7, ,Commercial Papers,-,-,-,-
717655,Indian Oil Corporation Ltd.,IOCL61219A,Indian Oil Corporation Ltd,Delisted,F ,500000.00,INE242A14OO5, ,Commercial Papers,-,-,-,-
717656,Indian Oil Corporation Ltd.,IOCL61219B,IOCL-27-2-19-CP,Delisted,F ,500000.00,INE242A14OP2, ,Commercial Papers,-,-,-,-
717657,Can Fin Homes Ltd.,CFHL31219,Can Fin Homes Ltd,Delisted,F ,500000.00,INE477A14AR9, ,Commercial Papers,-,-,-,-
717658,Chennai Petroleum Corporation Ltd.,CPCL31219,CPCL-31-12-19-CP,Delisted,F ,500000.00,INE178A14EX3, ,Commercial Papers,-,-,-,-
717659,GIC Housing Finance Ltd.,GICHF271119,GICHFL-24-1-20-CP,Delisted,F ,500000.00,INE289B14FQ7, ,Commercial Papers,-,-,-,-
717660,National Fertilizers Ltd.,NFL271119,National Fertilizers Ltd,Delisted,F ,500000.00,INE870D14CO2, ,Commercial Papers,-,-,-,-
717661,SBI CARDS AND PAYMENT SERVICES LIMITED,SBICP111219,SBICPSL-11-3-20-CP,Delisted,F ,500000.00,INE018E14NR6, ,Commercial Papers,-,-,-,-
717662,Indian Oil Corporation Ltd.,IOCL111219,IOCL-24-1-20-CP,Delisted,F ,500000.00,INE242A14OQ0, ,Commercial Papers,-,-,-,-
717663,JSW Steel Limited,JSL91219,JSW Steel Ltd,Delisted,F ,500000.00,INE019A14IF7, ,Commercial Papers,-,-,-,-
717664,JSW Steel Limited,JSL91219A,JSW Steel Ltd,Delisted,F ,500000.00,INE019A14IG5, ,Commercial Papers,-,-,-,-
717665,STANDARD CHARTERED CAPITAL LIMITED,SCIL291119,Standard Chartered Investments and Loans (India) Ltd,Delisted,F ,500000.00,INE403G14LX7, ,Commercial Papers,-,-,-,-
717666,STANDARD CHARTERED CAPITAL LIMITED,SCIL31219,Standard Chartered Investments and Loans (India) Ltd,Delisted,F ,500000.00,INE403G14LY5, ,Commercial Papers,-,-,-,-
717667,STANDARD CHARTERED CAPITAL LIMITED,SCIL41219,Standard Chartered Investments and Loans (India) Ltd,Delisted,F ,500000.00,INE403G14LZ2, ,Commercial Papers,-,-,-,-
717668,Indian Oil Corporation Ltd.,IOCL131219,IOCL-27-1-20-CP,Delisted,F ,500000.00,INE242A14OR8, ,Commercial Papers,-,-,-,-
717669,Housing Development Finance Corp.Lt,HDFC131219,HDFL-31-1-20-CP,Delisted,F ,500000.00,INE001A14WC3, ,Commercial Papers,-,-,-,-
717670,GIC Housing Finance Ltd.,GHL51219,GHL-30-1-20-CP,Delisted,F ,500000.00,INE289B14FR5, ,Commercial Papers,-,-,-,-
717671,Axis Finance Limited,AFL111219,Axis Finance Ltd,Delisted,F ,500000.00,INE891K14IP7, ,Commercial Papers,-,-,-,-
