Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
700002,Sakthi Sugars Ltd.,$SAKTI52,SAKTHI SUG L,Delisted,B ,100.00,NA          , ,Preference Shares,-,-,-,-
700004,Premier Synthetics Ltd.,PRESYNT,Premier Synthetics Ltd,Suspended,P ,100.00,NA          , ,Preference Shares,-,-,-,-
700005,Blue Blends (India) Ltd,BLBLEND,Blue Blends (India) Ltd,Delisted,Y ,100.00,NA          , ,Preference Shares,-,-,-,-
700006,Blue Blends (India) Ltd,BLBLNDS,Blue Blends India Ltd,Delisted,Y ,100.00,NA          , ,Preference Shares,-,-,-,-
700007,Sakthi Sugars Ltd.,SAKSUGL,SAKTH SVGAR,Delisted,B ,100.00,NA          , ,Preference Shares,-,-,-,-
700008,Polson Ltd.,POLSOLT,POLS LT CRP,Delisted,F ,0.00,NA          , ,Preference Shares,-,-,-,-
700009,Steelco Gujarat Ltd,STELCORDM,STELCO GUJ,Delisted,B ,10.00,NA          , ,Preference Shares,-,-,-,-
700010,S.Kumars Nationwide Ltd.,SKUMSYN,S. Kumars Nationwide Ltd,Suspended,Y ,100.00,NA          , ,Preference Shares,-,-,-,-
700011,ICICI Ltd.,ICICICRP,ICICI CRP,Delisted,B ,10.00,INE005A04015, ,Preference Shares,-,-,-,-
700012,ICICI Ltd.,ICICR,ICICI CRP2,Delisted,B ,10.00,NA          , ,Preference Shares,-,-,-,-
700013,Sakthi Sugars Ltd.,SAKSUGR,SHAKTISUGAR,Delisted,B ,100.00,NA          , ,Preference Shares,-,-,-,-
700015,BIL Industries Ltd.,BILINDS,BIL Industries Ltd,Delisted,P ,10.00,NA          , ,Preference Shares,-,-,-,-
700016,BIL Industries Ltd.,BILINDT,BIL Industries Ltd,Delisted,P ,10.00,NA          , ,Preference Shares,-,-,-,-
700017,Blue Blends (India) Ltd,BLUEBLN,BLUEBLEND,Delisted,B ,100.00,NA          , ,Preference Shares,-,-,-,-
700018,Blue Blends (India) Ltd,BLEBLNI,Blue Blends (India) Ltd,Delisted,Y ,100.00,NA          , ,Preference Shares,-,-,-,-
700019,Umi Special Steel Ltd,UMSPLST,UMI SPL ST,Delisted,B ,100.00,NA          , ,Preference Shares,-,-,-,-
700020,CTR Manufacturing Industries Ltd.,CTRMFGR,CTR MNFR IND,Delisted,B ,100.00,NA          , ,Preference Shares,-,-,-,-
700021,ICICI Ltd.,ICICORPO,ICICORPORATI,Delisted,B ,10.00,INE005A04031, ,Preference Shares,-,-,-,-
700022,ICICI Ltd.,ICIPFP2,ICICORPORATE,Delisted,B ,10.00,NA          , ,Preference Shares,-,-,-,-
700023,Remi Edelstahl Tubulars Limited,RAJMECH,RAJENDRA MEC,Delisted,B ,100.00,NA          , ,Preference Shares,-,-,-,-
700024,Mansarover Paper & Industries Ltd,MANSCRP,Mansarover Paper & Industries Ltd,Delisted,P ,10.00,NA          , ,Preference Shares,-,-,-,-
700025,ICICI Ltd.,ICICICRP4,ICICI CRP4DM,Delisted,B ,10.00,INE005A04056, ,Preference Shares,-,-,-,-
700027,JAINEX AAMCOL LTD.,AAMTOPR,AAMCOL TL PR,Delisted,B ,100.00,NA          , ,Preference Shares,-,-,-,-
700028,Sakthi Sugars Ltd.,SKSUGAR,Sakthi Sugars Ltd,Delisted,Y ,100.00,NA          , ,Preference Shares,-,-,-,-
700029,ICICI Ltd.,ICIP5,ICICI CRP P5,Delisted,B ,10.00,INE005A04072, ,Preference Shares,-,-,-,-
