Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
900020,Bombay Dyeing & Mfg. Co. Ltd.,$BODYERT,B.DYEING RT,Delisted,B ,0.00,NA          , ,Debentures and Bonds,-,-,-,-
900021,Bombay Dyeing & Mfg. Co. Ltd.,$BODYE-C,B.DYE RT CON,Delisted,B ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
900023,Bombay Dyeing & Mfg. Co. Ltd.,$BODYE15,B.DYEING15%,Delisted,B ,0.00,NA          , ,Debentures and Bonds,-,-,-,-
900211,-,$STANRTC,STANDARD RTC,Delisted,B2,-,-, ,Debentures and Bonds,-,-,-,-
900300,Grasim Industries Ltd,GRASM23,GRASIM  IND.,Delisted,F ,120.00,NA          , ,Debentures and Bonds,-,-,-,-
900415,Andhra Cement Ltd.,$ANDCH-C,ANDHRA CEM(C,Delisted,B ,0.00,NA          , ,Debentures and Bonds,-,-,-,-
900416,Andhra Cement Ltd.,$ANDCHNC,ANDHR.CEM(NC,Delisted,B ,210.00,NA          , ,Debentures and Bonds,-,-,-,-
900474,TATA STEEL LIMITED,$TISCODB,TATA IRON,Delisted,F ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
900475,Ashok Leyland Ltd.,$ASKLEYA,ASHOK LEY A,Delisted,B ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
900476,Ashok Leyland Ltd.,$ASKLEYB,ASHOK LEY. B,Delisted,B ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
900513,Larsen & Toubro Limited,$L&TNC10,L&T NC-100,Delisted,B ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
900572,Tata Motors Ltd.,$TELCO75,Tata Motors Ltd,Delisted,F ,0.00,-, ,Debentures and Bonds,-,-,-,-
900574,Tata Motors Ltd.,$TELCOCR,Tata Motors Ltd,Delisted,F ,0.00,-, ,Debentures and Bonds,-,-,-,-
900600,ZENITH STEEL PIPES AND  INDUSTRIES LIMITED,$ZENRT87,ZENITH(100),Delisted,B ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
900601,ZENITH STEEL PIPES AND  INDUSTRIES LIMITED,$ZENRTSE,ZENITH(120),Delisted,B ,120.00,NA          , ,Debentures and Bonds,-,-,-,-
900723,Futura Polyesters Ltd.,$FUTURAPO,FUTURA POLYE,Delisted,F ,100.00,-, ,Debentures and Bonds,-,-,-,-
900774,Tata Chemicals Ltd,$TACH15%,T.CHEM 15%,Delisted,F ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
900877,ITC Ltd,$ITC15%,I.T.C. (15%),Delisted,B ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
901749,Tata Power Co. Ltd,$TAPOWB,TATA POW.'B',Delisted,B ,1000.00,NA          , ,Debentures and Bonds,-,-,-,-
902182,Nestle India Ltd.,$NESNCUM,NESTLE (NC),Delisted,B ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
902959,Lakshmi Mills Company ltd,$LAXML27,LAKSHME MILL NC CUM,Delisted,F ,0.00,NA          , ,Debentures and Bonds,-,-,-,-
903206,Shree Ram Urban Infrastructure Ltd,$SHRAM89,Shree Ram Mills Ltd,Delisted,B ,0.00,NA          , ,Debentures and Bonds,-,-,-,-
903439,Birla Corporation Ltd.,$BIRJTCI,BIR.JUT(CI),Delisted,B ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
903769,Jaykay Enterprises Limited,$JKSYNNC,J.K.SYN.N-C.,Delisted,F ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
903933,ABB India Limited,ABB  D,ABB LTD,Delisted,F ,100.00,-, ,Debentures and Bonds,-,-,-,-
904076,Jyoti Ltd.,$JYOTI13,JYOTI (13.5),Delisted,B ,75.00,NA          , ,Debentures and Bonds,-,-,-,-
904136,"Philips India Limited.,",$PHILNCD,PEICO (NC),Delisted,B ,0.00,NA          , ,Debentures and Bonds,-,-,-,-
904560,Indian Aluminium Co. Ltd.,$INDAL90,IND.ALUMIN.,Delisted,B ,0.00,NA          , ,Debentures and Bonds,-,-,-,-
904687,Ferro Alloys Corporation Ltd.,$FERAL19,FERRO AL(190,Delisted,B ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
904688,Ferro Alloys Corporation Ltd.,$FERAL11,FERR.ALL(110,Delisted,B ,110.00,NA          , ,Debentures and Bonds,-,-,-,-
904962,-,$USHALLD,USHA ALLOYS,Delisted,B2,-,-, ,Debentures and Bonds,-,-,-,-
905557,ICICI Bank Ltd.,$ICBNJ79,ICICI BONDS,Delisted,F ,4975.00,NA          , ,Debentures and Bonds,-,-,-,-
905558,ICICI Bank Ltd.,$ICBNA79,ICICI BONDS,Delisted,F ,0.00,NA          , ,Debentures and Bonds,-,-,-,-
905560,ICICI Bank Ltd.,$ICB9200,ICICI BONDS,Delisted,F ,0.00,NA          , ,Debentures and Bonds,-,-,-,-
905562,ICICI Bank Ltd.,$ICB9201,ICICI BONDS,Delisted,F ,0.00,NA          , ,Debentures and Bonds,-,-,-,-
905566,ICICI Bank Ltd.,$ICB9202,ICICI BONDS,Delisted,F ,0.00,NA          , ,Debentures and Bonds,-,-,-,-
905567,ICICI Bank Ltd.,$ICB9222,ICICI BONDS,Delisted,F ,0.00,NA          , ,Debentures and Bonds,-,-,-,-
905572,-,$SIICO86,S I I COM,Delisted,B2,-,-, ,Debentures and Bonds,-,-,-,-
906461,"Hico Products Limited,",HICOP24,HICO PRODUCTS LTD,Delisted,F ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
906462,"Hico Products Limited,",$HICPR28,HICO PR NC NON CUM,Delisted,F ,0.00,NA          , ,Debentures and Bonds,-,-,-,-
909131,Dunlop India Ltd.,$DUNLOPC,Dunlop India Ltd,Delisted,F ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
909625,Hindustan Construction Co. Ltd.,$HINCONC,Hindustan Construction Co. Ltd,Delisted,F ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
909633,Hindustan Development Corpn. Ltd.,$HINDSIV,Hindusthan Development Corporation Ltd,Delisted,F ,50.00,NA          , ,Debentures and Bonds,-,-,-,-
909741,Trent Ltd [Lakme Ltd],$LAKMEDB,LAKME LTD.,Delisted,F ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
910027,Mahindra & Mahindra Ltd.,MAHIN37,MAHINDRA&MAHIND-17.5%-31/05/19,Delisted,F ,35.00,NA          , ,Debentures and Bonds,-,-,-,-
910037,Shree Digvijay Cement Co. Ltd.,$SHDIG25,SHRI DIGVIJAY CEMENT NC,Delisted,F ,0.00,NA          , ,Debentures and Bonds,-,-,-,-
910045,SKF India Ltd.,$SKFNCD,SKF BEAR,Delisted,B ,0.00,-, ,Debentures and Bonds,-,-,-,-
910047,Surya Industrial Corporation Ltd.,$SURYINC,Surya Industrial Corporation Ltd,Delisted,F ,0.00,NA          , ,Debentures and Bonds,-,-,-,-
910062,Blue Blends (India) Ltd,$BLBLNDD,BL.BLEND,Delisted,B ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
910070,Daewoo Motors India Ltd.,$DCMTOYN,Daewoo Motors India Ltd,Delisted,B ,0.00,NA          , ,Debentures and Bonds,-,-,-,-
910074,"Mazda Industries & Leasing Ltd.,",$MAZDANC,MAZDA IND(C),Delisted,B ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
910077,Best & Crompton Engineering Ltd.,BESCR23,BEST & CROM,Delisted,F ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
910080,"Sanghvi Steel Ltd.,",$SANGS15,SANG.ST.(15%,Delisted,B ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
910087,Century Enka Ltd.,$CENTERT,CEN.ENKA RT.,Delisted,B ,0.00,NA          , ,Debentures and Bonds,-,-,-,-
910091,ZENITH STEEL PIPES AND  INDUSTRIES LIMITED,$ZENRTNC,ZENITH -90NC,Delisted,B ,90.00,NA          , ,Debentures and Bonds,-,-,-,-
910095,Tri-Star Soya Products Ltd.,$TRISTCU,Tri-Star Soya Products Ltd,Delisted,B ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
910106,PSI Data Systems Ltd.,$PSIDADB,PSI.DATA,Delisted,B ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
910112,B.D. Industries Ltd,$BDSTLNC,BD STEEL(15),Delisted,F ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
910121,Usha Martin Industries Ltd(amlg.with Usha Beltron Ltd.),$USHMNCD,USHA.MARTIN,Delisted,B ,100.00,NA          , ,Debentures and Bonds,-,-,-,-
