Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,162.40,166.90,162.40,163.95,164.633730834752981260,1174,83,193280.00,875,74.53,4.50,1.55
27-June-2024,162.30,166.60,162.00,162.40,163.246047430830039525,2024,115,330410.00,1614,79.74,4.60,0.10
26-June-2024,162.00,166.60,162.00,164.05,165.128608923884514435,762,80,125828.00,647,84.91,4.60,2.05
25-June-2024,167.00,167.00,164.40,164.80,165.053408292340126493,1423,88,234871.00,1265,88.90,2.60,-2.20
24-June-2024,164.05,167.00,162.55,165.20,165.049754730203223545,1427,135,235526.00,1025,71.83,4.45,1.15
21-June-2024,166.50,166.50,164.10,164.95,164.883980365908076751,2241,103,369505.00,2066,92.19,2.40,-1.55
20-June-2024,165.95,167.05,165.40,165.85,166.147474747474747474,1485,91,246729.00,1209,81.41,1.65,-0.10
19-June-2024,165.30,167.95,165.00,166.55,166.387410772225827384,1541,90,256403.00,1317,85.46,2.95,1.25
18-June-2024,165.00,168.00,165.00,165.00,165.656417112299465240,2244,134,371733.00,1966,87.61,3.00,0.00
14-June-2024,165.00,168.00,165.00,167.05,167.029657794676806083,1315,101,219644.00,1063,80.84,3.00,2.05
13-June-2024,168.00,168.35,163.05,165.00,164.341121495327102803,3852,188,633042.00,2456,63.76,5.30,-3.00
12-June-2024,166.20,169.25,162.50,165.55,165.977576974564926372,2988,156,495941.00,2591,86.71,6.75,-0.65
11-June-2024,164.35,169.25,164.35,164.75,166.362745098039215686,2040,124,339380.00,1337,65.54,4.90,0.40
10-June-2024,166.25,170.00,163.50,166.00,167.355653821857233101,1583,78,264924.00,1370,86.54,6.50,-0.25
7-June-2024,167.35,168.00,164.00,166.25,166.990972918756268806,2991,88,499470.00,2674,89.40,4.00,-1.10
6-June-2024,160.25,168.50,160.25,167.30,165.585770405936272370,2291,94,379357.00,1863,81.32,8.25,7.05
5-June-2024,161.95,165.25,161.00,164.75,164.181959082455052696,3226,97,529651.00,3054,94.67,4.25,2.80
4-June-2024,165.75,168.95,160.00,163.55,163.480289246559365523,4287,182,700840.00,3436,80.15,8.95,-2.20
3-June-2024,167.15,174.00,165.00,169.10,167.917815930199831128,3553,224,596612.00,2473,69.60,9.00,1.95
31-May-2024,167.10,172.25,167.10,170.10,168.963759909399773499,1766,92,298390.00,1211,68.57,5.15,3.00
30-May-2024,170.95,174.95,166.10,172.40,169.505367110347788750,2329,98,394778.00,1200,51.52,8.85,1.45
29-May-2024,168.60,172.15,168.00,169.55,168.796072507552870090,662,76,111743.00,556,83.99,4.15,0.95
28-May-2024,167.00,172.10,167.00,168.60,169.385906040268456375,1192,100,201908.00,936,78.52,5.10,1.60
