Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,645.40,657.80,640.00,652.85,648.175633789030637214,30649,2670,19865935.00,12061,39.35,17.80,7.45
27-June-2024,657.00,666.60,640.90,650.05,653.817695285811887952,8782,947,5741827.00,2546,28.99,25.70,-6.95
26-June-2024,680.40,680.40,654.00,657.70,666.460876587213187792,35912,2449,23933943.00,17569,48.92,26.40,-22.70
25-June-2024,676.60,685.00,667.00,671.80,673.220877094524172211,12473,971,8397084.00,5433,43.56,18.00,-4.80
24-June-2024,654.25,702.00,654.00,676.05,684.024163132227180415,72383,4621,49511721.00,27992,38.67,48.00,21.80
21-June-2024,688.35,688.35,659.10,664.90,668.445248584015103838,31780,2130,21243190.00,14443,45.45,29.25,-23.45
20-June-2024,685.00,691.90,672.85,678.15,682.902815376285868976,14776,1057,10090572.00,5541,37.50,19.05,-6.85
19-June-2024,696.25,700.00,670.05,676.80,680.426897167995600769,29096,1655,19797701.00,8927,30.68,29.95,-19.45
18-June-2024,699.85,708.20,686.75,694.75,697.216816796362831406,58727,2463,40945452.00,26795,45.63,21.45,-5.10
14-June-2024,671.05,717.00,670.70,682.85,698.891146815440477489,64169,6637,44847146.00,14445,22.51,46.30,11.80
13-June-2024,688.45,688.45,665.20,670.70,672.882208387942332896,48832,3123,32858184.00,19807,40.56,23.25,-17.75
12-June-2024,665.50,696.85,658.35,680.85,678.375532303917520908,84773,3610,57507929.00,22668,26.74,38.50,15.35
11-June-2024,630.00,698.50,612.50,660.40,668.390779526919012653,369070,22491,246682985.00,96751,26.21,86.00,30.40
10-June-2024,589.00,626.00,582.45,623.10,612.254276842750627929,50563,2495,30957413.00,19895,39.35,43.55,34.10
7-June-2024,583.95,590.15,579.45,582.75,585.224243706367675058,9454,647,5532710.00,3668,38.80,10.70,-1.20
6-June-2024,580.95,597.50,566.85,584.70,588.020209596433110402,47997,2787,28223206.00,19952,41.57,30.65,3.75
5-June-2024,515.10,589.90,503.95,580.95,562.290223883331501227,54582,4069,30690925.00,25844,47.35,85.95,65.85
4-June-2024,554.00,557.00,504.20,513.70,534.538964912597841609,55319,4291,29570161.00,27884,50.41,52.80,-40.30
3-June-2024,572.00,572.00,552.50,560.80,559.037295159163684309,15927,1195,8903787.00,7088,44.50,19.50,-11.20
31-May-2024,549.30,563.50,537.65,553.30,548.062406619928743822,8701,751,4768691.00,3185,36.60,25.85,4.00
30-May-2024,553.55,556.70,536.00,548.75,547.949659689225632464,31148,1877,17067536.00,10174,32.66,20.70,-4.80
29-May-2024,536.00,551.35,536.00,540.65,544.398297595236987766,21499,1470,11704019.00,8639,40.18,15.35,4.65
28-May-2024,550.00,555.10,537.00,548.85,544.726993426693340954,13996,753,7623999.00,4793,34.25,18.10,-1.15
27-May-2024,581.00,581.00,549.00,551.60,560.787512870916409248,10683,929,5990893.00,4149,38.84,32.00,-29.40
24-May-2024,572.95,582.25,567.25,572.55,575.614273075788852845,23737,1603,13663356.00,10569,44.53,15.00,-0.40
23-May-2024,580.00,586.00,566.55,570.55,574.093970522554711924,11195,1088,6426982.00,3069,27.41,19.45,-9.45
22-May-2024,584.35,601.00,572.50,578.75,585.861885041171825901,62057,3055,36356831.00,28969,46.68,28.50,-5.60
21-May-2024,608.95,620.00,573.55,581.70,597.224478412928123492,66336,3862,39617483.00,19710,29.71,46.45,-27.25
18-May-2024,590.10,596.50,589.00,596.50,593.628274923443348077,5878,179,3489347.00,5396,91.80,7.50,6.40
17-May-2024,549.85,586.00,545.10,568.10,560.318263737758433079,58816,3223,32955679.00,39448,67.07,40.90,18.25
16-May-2024,555.65,558.05,542.40,550.10,550.244673586451789128,29288,1695,16115566.00,13701,46.78,15.65,-5.55
15-May-2024,534.95,551.15,517.00,546.70,538.477699671725418077,58183,3876,31330248.00,38334,65.89,34.15,11.75
14-May-2024,511.50,524.45,507.70,519.80,515.217823493819690552,11569,993,5960555.00,7084,61.23,16.75,8.30
