Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-March-2020,2.16,2.16,2.16,2.16,2.000000000000000000,1,1,2.00,1,100.00,0.00,0.00
3-March-2020,2.27,2.27,2.27,2.27,2.000000000000000000,1,1,2.00,1,100.00,0.00,0.00
16-December-2019,2.38,2.38,2.38,2.38,2.380000000000000000,250,2,595.00,250,100.00,0.00,0.00
21-November-2019,2.50,2.50,2.50,2.50,2.500000000000000000,10,1,25.00,10,100.00,0.00,0.00
20-November-2019,2.40,2.40,2.40,2.40,2.400000000000000000,10,1,24.00,10,100.00,0.00,0.00
19-November-2019,2.30,2.30,2.30,2.30,2.300000000000000000,10,1,23.00,10,100.00,0.00,0.00
15-November-2019,2.28,2.28,2.28,2.28,2.200000000000000000,10,1,22.00,10,100.00,0.00,0.00
14-November-2019,2.40,2.40,2.40,2.40,2.400000000000000000,210,3,504.00,210,100.00,0.00,0.00
13-November-2019,2.50,2.50,2.30,2.30,2.364864864864864864,74,7,175.00,74,100.00,0.20,-0.20
11-November-2019,2.40,2.40,2.40,2.40,2.400000000000000000,10,1,24.00,10,100.00,0.00,0.00
8-November-2019,2.30,2.30,2.30,2.30,2.300000000000000000,10,1,23.00,10,100.00,0.00,0.00
7-November-2019,2.50,2.50,2.30,2.30,2.318181818181818181,110,2,255.00,110,100.00,0.20,-0.20
5-November-2019,2.50,2.50,2.40,2.40,2.404494382022471910,89,2,214.00,89,100.00,0.10,-0.10
22-October-2019,2.40,2.40,2.40,2.40,2.400000000000000000,10,1,24.00,10,100.00,0.00,0.00
18-October-2019,2.40,2.40,2.40,2.40,2.400000000000000000,50,1,120.00,50,100.00,0.00,0.00
17-October-2019,2.30,2.30,2.30,2.30,2.300000000000000000,100,1,230.00,100,100.00,0.00,0.00
16-October-2019,2.30,2.30,2.20,2.20,2.198019801980198019,101,2,222.00,101,100.00,0.10,-0.10
14-October-2019,2.30,2.30,2.30,2.30,2.300000000000000000,10,1,23.00,10,100.00,0.00,0.00
13-June-2019,2.30,2.30,2.30,2.30,2.300000000000000000,100,1,230.00,100,100.00,0.00,0.00
11-June-2019,2.25,2.25,2.25,2.25,2.250000000000000000,100,2,225.00,100,100.00,0.00,0.00
3-June-2019,2.20,2.20,2.20,2.20,2.199999299685558815,571172,11,1256578.00,571172,100.00,0.00,0.00
16-May-2019,1.95,2.14,1.95,2.14,1.954838709677419354,310,2,606.00,310,100.00,0.19,0.19
15-May-2019,2.04,2.04,2.04,2.04,2.040000000000000000,100,1,204.00,100,100.00,0.00,0.00
14-May-2019,1.95,1.95,1.95,1.95,1.949971655328798185,7056,4,13759.00,5100,72.28,0.00,0.00
13-May-2019,1.86,1.86,1.86,1.86,1.855555555555555555,90,1,167.00,90,100.00,0.00,0.00
26-March-2019,1.78,1.78,1.78,1.78,1.780000000000000000,500,1,890.00,500,100.00,0.00,0.00
25-March-2019,1.71,1.71,1.71,1.71,1.709677419354838709,806,1,1378.00,806,100.00,0.00,0.00
14-March-2019,1.80,1.80,1.80,1.80,1.799638989169675090,554,2,997.00,554,100.00,0.00,0.00
12-March-2019,1.80,1.80,1.80,1.80,1.000000000000000000,1,1,1.00,1,100.00,0.00,0.00
18-January-2019,1.79,1.80,1.79,1.80,1.700000000000000000,10,2,17.00,10,100.00,0.01,0.01
16-November-2018,1.79,1.79,1.79,1.79,1.700000000000000000,10,1,17.00,10,100.00,0.00,0.00
6-November-2018,1.71,1.71,1.71,1.71,1.700000000000000000,10,1,17.00,10,100.00,0.00,0.00
5-November-2018,1.71,1.71,1.71,1.71,1.710000000000000000,1000,1,1710.00,1000,100.00,0.00,0.00
2-November-2018,1.64,1.64,1.64,1.64,1.639815120501815780,3029,4,4967.00,3029,100.00,0.00,0.00
31-October-2018,1.71,1.71,1.71,1.71,1.710000000000000000,100,1,171.00,100,100.00,0.00,0.00
26-October-2018,1.78,1.78,1.78,1.78,1.779649122807017543,1425,1,2536.00,1425,100.00,0.00,0.00
25-October-2018,1.70,1.70,1.70,1.70,1.700000000000000000,100,1,170.00,100,100.00,0.00,0.00
23-October-2018,1.70,1.70,1.70,1.70,1.700000000000000000,200,2,340.00,200,100.00,0.00,0.00
19-October-2018,1.69,1.85,1.69,1.70,1.713948474079376848,117339,26,201113.00,99239,84.57,0.16,0.01
17-October-2018,1.76,1.77,1.76,1.77,1.757575757575757575,66,3,116.00,66,100.00,0.01,0.01
16-October-2018,1.85,1.85,1.85,1.85,1.850000000000000000,100,1,185.00,100,100.00,0.00,0.00
15-October-2018,1.92,1.92,1.92,1.92,1.920000000000000000,1500,3,2880.00,1500,100.00,0.00,0.00
12-October-2018,1.68,1.83,1.68,1.83,1.731562500000000000,3200,3,5541.00,2100,65.62,0.15,0.15
11-October-2018,1.83,1.92,1.75,1.75,1.904385618332674832,25310,15,48200.00,21110,83.41,0.17,-0.08
10-October-2018,1.83,2.00,1.83,1.83,1.979204517554628038,40730,14,80613.00,38220,93.84,0.17,0.00
9-October-2018,1.75,1.91,1.75,1.91,1.868292174637907679,19194,8,35860.00,14393,74.99,0.16,0.16
8-October-2018,1.82,1.82,1.82,1.82,1.819986080240677128,44541,7,81064.00,44210,99.26,0.00,0.00
5-October-2018,1.74,1.75,1.74,1.74,1.745652173913043478,4600,6,8030.00,3000,65.22,0.01,0.00
4-October-2018,1.82,1.82,1.80,1.82,1.819066534260178748,15105,13,27477.00,15105,100.00,0.02,0.00
3-October-2018,1.74,1.74,1.74,1.74,1.739994605448497018,166835,8,290292.00,164835,98.80,0.00,0.00
1-October-2018,1.74,1.74,1.74,1.74,1.709677419354838709,31,1,53.00,31,100.00,0.00,0.00
17-May-2018,1.83,1.83,1.83,1.83,1.830000000000000000,500,1,915.00,500,100.00,0.00,0.00
4-May-2018,1.92,1.92,1.92,1.92,1.920000000000000000,100,1,192.00,100,100.00,0.00,0.00
25-April-2018,1.92,1.92,1.92,1.92,1.920000000000000000,100,1,192.00,100,100.00,0.00,0.00
24-April-2018,2.02,2.02,2.02,2.02,2.019197207678883071,573,3,1157.00,573,100.00,0.00,0.00
23-April-2018,2.12,2.12,2.12,2.12,2.120000000000000000,100,1,212.00,100,100.00,0.00,0.00
20-April-2018,2.23,2.23,2.23,2.23,2.230000000000000000,100,1,223.00,100,100.00,0.00,0.00
19-April-2018,2.34,2.34,2.34,2.34,2.340000000000000000,100,1,234.00,100,100.00,0.00,0.00
18-April-2018,2.46,2.46,2.46,2.46,2.460000000000000000,5000,2,12300.00,5000,100.00,0.00,0.00
22-March-2018,2.58,2.58,2.58,2.58,2.500000000000000000,12,1,30.00,12,100.00,0.00,0.00
20-March-2018,2.58,2.58,2.58,2.58,2.579896907216494845,388,2,1001.00,388,100.00,0.00,0.00
5-March-2018,2.58,2.58,2.58,2.58,2.533333333333333333,15,1,38.00,15,100.00,0.00,0.00
26-February-2018,2.72,2.72,2.63,2.63,2.675000000000000000,200,2,535.00,200,100.00,0.09,-0.09
22-February-2018,2.68,2.68,2.68,2.68,2.680000000000000000,100,1,268.00,100,100.00,0.00,0.00
21-February-2018,2.73,2.73,2.73,2.73,2.730000000000000000,100,1,273.00,100,100.00,0.00,0.00
14-February-2018,2.78,2.78,2.78,2.78,2.780000000000000000,100,2,278.00,100,100.00,0.00,0.00
9-February-2018,2.74,2.74,2.74,2.74,2.740000000000000000,2000,1,5480.00,2000,100.00,0.00,0.00
8-February-2018,2.70,2.70,2.70,2.70,2.700000000000000000,800,2,2160.00,800,100.00,0.00,0.00
7-February-2018,2.75,2.75,2.75,2.75,2.750000000000000000,400,1,1100.00,400,100.00,0.00,0.00
6-February-2018,2.80,2.80,2.80,2.80,2.800000000000000000,2300,2,6440.00,2300,100.00,0.00,0.00
5-February-2018,2.85,2.85,2.85,2.85,2.850000000000000000,100,2,285.00,100,100.00,0.00,0.00
2-February-2018,2.81,2.81,2.81,2.81,2.810000000000000000,400,2,1124.00,400,100.00,0.00,0.00
31-January-2018,2.81,2.81,2.81,2.81,2.810000000000000000,2800,3,7868.00,2800,100.00,0.00,0.00
30-January-2018,2.91,2.91,2.86,2.86,2.861778846153846153,832,3,2381.00,832,100.00,0.05,-0.05
29-January-2018,2.86,2.86,2.86,2.86,2.860000000000000000,1050,3,3003.00,1050,100.00,0.00,0.00
25-January-2018,2.74,2.74,2.74,2.74,2.740000000000000000,50,1,137.00,50,100.00,0.00,0.00
24-January-2018,2.60,2.62,2.60,2.62,2.616020671834625322,1935,6,5062.00,1935,100.00,0.02,0.02
23-January-2018,2.30,2.50,2.30,2.50,2.367346938775510204,294,3,696.00,294,100.00,0.20,0.20
22-January-2018,2.40,2.40,2.40,2.40,2.400000000000000000,100,2,240.00,100,100.00,0.00,0.00
19-January-2018,2.30,2.30,2.30,2.30,2.280000000000000000,25,1,57.00,25,100.00,0.00,0.00
17-January-2018,2.20,2.21,2.20,2.21,2.200909090909090909,1100,3,2421.00,1100,100.00,0.01,0.01
16-January-2018,2.17,2.17,2.17,2.17,2.169230769230769230,650,5,1410.00,650,100.00,0.00,0.00
15-January-2018,2.07,2.07,2.07,2.07,2.068571428571428571,350,2,724.00,350,100.00,0.00,0.00
12-January-2018,1.98,1.98,1.98,1.98,1.980000000000000000,50,1,99.00,50,100.00,0.00,0.00
11-January-2018,1.89,1.89,1.89,1.89,1.890000000000000000,12000,2,22680.00,12000,100.00,0.00,0.00
10-January-2018,1.80,1.80,1.80,1.80,1.800000000000000000,150,1,270.00,150,100.00,0.00,0.00
9-January-2018,1.72,1.72,1.72,1.72,1.700000000000000000,10,1,17.00,10,100.00,0.00,0.00
8-January-2018,1.64,1.64,1.64,1.64,1.600000000000000000,10,1,16.00,10,100.00,0.00,0.00
29-December-2017,1.70,1.70,1.57,1.57,1.696078431372549019,510,2,865.00,510,100.00,0.13,-0.13
27-December-2017,1.57,1.64,1.57,1.64,1.624687500000000000,16000,7,25995.00,16000,100.00,0.07,0.07
26-December-2017,1.57,1.57,1.57,1.57,1.570000000000000000,4000,1,6280.00,4000,100.00,0.00,0.00
8-December-2017,1.50,1.50,1.50,1.50,1.500000000000000000,100,1,150.00,100,100.00,0.00,0.00
