Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,15.81,15.83,15.81,15.83,15.816986214546030739,6311,12,99821.00,6311,100.00,0.02,0.02
26-June-2024,15.81,15.81,15.81,15.81,15.727272727272727272,11,1,173.00,11,100.00,0.00,0.00
25-June-2024,15.80,15.80,15.80,15.80,15.800000000000000000,500,3,7900.00,500,100.00,0.00,0.00
21-June-2024,15.86,15.86,15.84,15.86,15.856659142212189616,886,6,14049.00,886,100.00,0.02,0.00
20-June-2024,15.84,15.84,15.84,15.84,15.750000000000000000,4,1,63.00,4,100.00,0.00,0.00
19-June-2024,15.09,15.09,15.09,15.09,15.071428571428571428,28,2,422.00,28,100.00,0.00,0.00
18-June-2024,14.36,14.38,14.36,14.38,14.358910891089108910,404,4,5801.00,404,100.00,0.02,0.02
13-June-2024,15.80,16.50,15.11,15.11,16.267441860465116279,86,7,1399.00,86,100.00,1.39,-0.69
12-June-2024,15.05,15.80,15.05,15.80,15.058823529411764705,51,2,768.00,51,100.00,0.75,0.75
11-June-2024,15.05,15.05,15.05,15.05,15.045045045045045045,111,4,1670.00,111,100.00,0.00,0.00
10-June-2024,15.80,15.80,15.80,15.80,15.000000000000000000,1,1,15.00,1,100.00,0.00,0.00
7-June-2024,16.55,16.58,16.55,16.58,16.574016239850093691,1601,4,26535.00,1601,100.00,0.03,0.03
6-June-2024,17.35,17.35,17.35,17.35,17.000000000000000000,1,1,17.00,1,100.00,0.00,0.00
5-June-2024,18.24,18.24,18.24,18.24,18.222222222222222222,18,3,328.00,18,100.00,0.00,0.00
4-June-2024,18.24,18.24,18.24,18.24,18.212121212121212121,33,4,601.00,33,100.00,0.00,0.00
3-June-2024,19.20,19.20,19.20,19.20,19.192307692307692307,104,2,1996.00,104,100.00,0.00,0.00
31-May-2024,18.15,19.10,18.15,19.10,18.153846153846153846,208,7,3776.00,208,100.00,0.95,0.95
30-May-2024,20.90,20.90,19.10,19.10,20.897491821155943293,917,6,19163.00,917,100.00,1.80,-1.80
28-May-2024,20.00,20.00,20.00,20.00,20.000000000000000000,1006,3,20120.00,1006,100.00,0.00,0.00
27-May-2024,19.96,19.96,19.00,19.57,19.939698492462311557,398,3,7936.00,398,100.00,0.96,-0.39
24-May-2024,18.42,19.18,18.42,19.18,18.419928825622775800,281,2,5176.00,281,100.00,0.76,0.76
23-May-2024,18.40,18.40,18.40,18.40,18.400000000000000000,540,3,9936.00,540,100.00,0.00,0.00
22-May-2024,17.40,17.55,17.40,17.55,17.538461538461538461,52,2,912.00,52,100.00,0.15,0.15
21-May-2024,16.15,16.90,16.15,16.90,16.150943396226415094,265,5,4280.00,265,100.00,0.75,0.75
17-May-2024,16.15,16.15,16.15,16.15,16.000000000000000000,1,1,16.00,1,100.00,0.00,0.00
16-May-2024,14.70,15.43,14.31,15.43,14.770943796394485683,3772,8,55716.00,3772,100.00,1.12,0.73
14-May-2024,14.70,14.70,14.70,14.70,14.500000000000000000,2,1,29.00,2,100.00,0.00,0.00
13-May-2024,14.00,14.00,14.00,14.00,14.000000000000000000,2,2,28.00,2,100.00,0.00,0.00
9-May-2024,14.73,14.73,14.73,14.73,14.000000000000000000,1,1,14.00,1,100.00,0.00,0.00
7-May-2024,14.25,15.50,14.25,15.50,14.363636363636363636,11,3,158.00,11,100.00,1.25,1.25
6-May-2024,14.77,14.77,14.77,14.77,14.666666666666666666,6,2,88.00,6,100.00,0.00,0.00
3-May-2024,14.07,14.07,14.07,14.07,14.069591527987897125,1322,5,18600.00,1322,100.00,0.00,0.00
29-April-2024,13.40,13.40,13.40,13.40,13.000000000000000000,1,1,13.00,1,100.00,0.00,0.00
24-April-2024,14.08,14.08,14.08,14.08,14.058823529411764705,17,3,239.00,17,100.00,0.00,0.00
19-April-2024,14.82,14.82,14.82,14.82,14.000000000000000000,1,1,14.00,1,100.00,0.00,0.00
18-April-2024,15.54,15.60,15.54,15.60,15.580000000000000000,300,4,4674.00,300,100.00,0.06,0.06
