Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,380.00,393.75,376.80,380.05,385.328792928561078104,6901,507,2659154.00,2970,43.04,16.95,0.05
27-June-2024,373.80,385.90,371.75,374.65,379.149063670411985018,4005,234,1518492.00,2908,72.61,14.15,0.85
26-June-2024,397.00,397.00,376.20,381.40,381.479034181240063593,20128,1216,7678410.00,9514,47.27,20.80,-15.60
25-June-2024,408.00,424.35,388.75,396.20,406.603241501131116551,32269,2359,13120680.00,9663,29.95,35.60,-11.80
24-June-2024,361.25,405.45,361.25,401.55,394.397064203402231571,21868,1097,8624675.00,10546,48.23,44.20,40.30
21-June-2024,385.00,388.90,364.05,368.60,376.947015725518227305,11192,880,4218791.00,5040,45.03,24.85,-16.40
20-June-2024,360.00,384.00,358.85,378.00,375.609239830664457942,21732,1319,8162740.00,11686,53.77,25.15,18.00
19-June-2024,382.00,382.00,352.40,358.05,362.392241884448611273,8533,503,3092293.00,4158,48.73,29.60,-23.95
18-June-2024,372.60,383.95,361.55,375.65,370.302140328290955906,12428,508,4602115.00,9588,77.15,22.40,3.05
14-June-2024,384.15,384.15,369.50,372.60,373.925113200975269940,2871,226,1073539.00,759,26.44,14.65,-11.55
13-June-2024,383.75,385.50,371.90,376.65,376.175457028787560411,14277,315,5370657.00,11610,81.32,13.60,-7.10
12-June-2024,390.00,390.00,378.40,381.50,381.799596343345601329,8423,600,3215898.00,3423,40.64,11.60,-8.50
11-June-2024,373.70,385.95,368.75,378.90,380.382211335416842638,11839,857,4503345.00,4725,39.91,17.20,5.20
10-June-2024,352.30,379.80,348.60,366.35,366.982873824197210509,15415,1081,5657041.00,6984,45.31,31.20,14.05
7-June-2024,339.00,349.95,333.70,345.35,344.460407171072622303,16455,774,5668096.00,11340,68.92,16.25,6.35
6-June-2024,320.00,337.00,318.70,326.65,326.461275005837938818,12847,790,4194048.00,9725,75.70,18.30,6.65
5-June-2024,305.20,331.50,301.00,328.00,323.532225765779129273,13483,488,4362185.00,9305,69.01,30.50,22.80
4-June-2024,338.00,338.00,315.75,315.75,317.058479532163742690,1368,76,433736.00,1220,89.18,22.25,-22.25
3-June-2024,349.90,350.10,323.60,332.35,335.346299810246679316,28458,1111,9543285.00,18114,63.65,26.50,-17.55
31-May-2024,333.45,333.45,320.00,333.45,333.183854434532782378,56387,535,18787238.00,43060,76.37,13.45,0.00
30-May-2024,317.60,317.60,317.60,317.60,317.599977720842152166,8977,168,2851095.00,8977,100.00,0.00,0.00
29-May-2024,296.05,305.00,296.05,302.50,301.807121661721068249,6403,350,1932471.00,3596,56.16,8.95,6.45
28-May-2024,298.00,310.65,298.00,300.75,306.398194583751253761,997,124,305479.00,600,60.18,12.65,2.75
27-May-2024,307.00,307.00,299.00,301.00,302.138528138528138528,2079,162,628146.00,1632,78.50,8.00,-6.00
24-May-2024,312.75,312.75,303.15,307.20,308.175013758943313153,1817,225,559954.00,1232,67.80,9.60,-5.55
23-May-2024,315.00,315.15,310.70,311.30,312.873204903677758318,2855,433,893253.00,1283,44.94,4.45,-3.70
22-May-2024,319.85,319.85,312.05,314.30,316.318318318318318318,1332,124,421336.00,908,68.17,7.80,-5.55
21-May-2024,323.10,324.50,315.15,319.85,319.696487049717177731,6718,574,2147721.00,5762,85.77,9.35,-3.25
18-May-2024,325.00,330.95,320.50,323.20,326.604034810126582278,2528,77,825655.00,2463,97.43,10.45,-1.80
17-May-2024,330.35,331.10,325.10,326.55,329.017135023989033584,1459,103,480036.00,987,67.65,6.00,-3.80
16-May-2024,320.20,331.90,320.20,329.60,328.097091624753990815,4573,457,1500388.00,2757,60.29,11.70,9.40
15-May-2024,330.45,334.80,324.30,325.10,328.283870967741935483,2015,191,661492.00,1115,55.33,10.50,-5.35
14-May-2024,325.00,332.05,324.75,329.75,329.702540018520968382,15118,852,4984443.00,10621,70.25,7.30,4.75
13-May-2024,330.35,330.35,312.60,326.90,324.257050592034445640,4645,191,1506174.00,3199,68.87,17.75,-3.45
10-May-2024,300.00,315.50,300.00,314.75,312.755766621438263229,737,59,230501.00,615,83.45,15.50,14.75
9-May-2024,309.15,309.55,300.25,300.50,304.080821917808219178,730,73,221979.00,669,91.64,9.30,-8.65
8-May-2024,308.90,311.00,300.05,309.10,305.812349252291365171,2073,225,633949.00,1584,76.41,10.95,0.20
