Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,215.00,223.00,210.00,211.95,213.355527638190954773,796,33,169831.00,507,63.69,13.00,-3.05
27-June-2024,222.95,222.95,203.20,214.90,211.986656200941915227,1274,45,270071.00,1002,78.65,19.75,-8.05
26-June-2024,248.00,248.00,217.40,223.30,221.215936254980079681,1255,34,277626.00,852,67.89,30.60,-24.70
25-June-2024,239.80,239.80,215.25,233.70,223.865671641791044776,335,14,74995.00,315,94.03,24.55,-6.10
24-June-2024,226.10,229.90,226.00,229.90,227.202970297029702970,202,12,45895.00,202,100.00,3.90,3.80
21-June-2024,239.95,239.95,219.00,226.10,223.111655978875895888,2651,41,591469.00,1450,54.70,20.95,-13.85
20-June-2024,249.90,249.90,225.00,239.95,225.470338983050847457,944,12,212844.00,926,98.09,24.90,-9.95
19-June-2024,231.05,245.00,231.00,235.95,236.679389312977099236,524,29,124020.00,415,79.20,14.00,4.90
18-June-2024,250.80,250.80,230.30,250.00,242.898809523809523809,336,17,81614.00,243,72.32,20.50,-0.80
14-June-2024,267.00,267.00,240.00,250.80,248.818980667838312829,569,22,141578.00,407,71.53,27.00,-16.20
13-June-2024,244.00,269.50,226.80,243.05,243.306390977443609022,1064,31,258878.00,892,83.83,42.70,-0.95
12-June-2024,257.00,257.00,245.00,245.00,249.080000000000000000,25,5,6227.00,25,100.00,12.00,-12.00
10-June-2024,238.95,246.00,233.00,244.90,234.051546391752577319,194,14,45406.00,166,85.57,13.00,5.95
7-June-2024,217.95,237.00,216.00,225.00,230.780336581045172719,1129,34,260551.00,976,86.45,21.00,7.05
6-June-2024,207.00,217.95,198.00,215.80,204.560606060606060606,264,25,54004.00,231,87.50,19.95,8.80
5-June-2024,206.45,216.75,206.45,207.60,207.249258160237388724,674,32,139686.00,629,93.32,10.30,1.15
4-June-2024,217.30,225.00,217.30,217.30,217.558178752107925801,593,10,129012.00,572,96.46,7.70,0.00
3-June-2024,240.00,240.00,224.35,228.70,225.564102564102564102,156,16,35188.00,130,83.33,15.65,-11.30
31-May-2024,246.00,249.75,236.15,236.15,237.672222222222222222,540,25,128343.00,480,88.89,13.60,-9.85
30-May-2024,266.95,266.95,242.30,248.55,246.748091603053435114,1703,35,420212.00,1241,72.87,24.65,-18.40
29-May-2024,248.50,258.00,236.00,255.05,245.066848567530695770,733,21,179634.00,519,70.80,22.00,6.55
28-May-2024,256.20,256.20,248.00,248.00,254.396551724137931034,58,4,14755.00,58,100.00,8.20,-8.20
27-May-2024,240.00,249.00,240.00,244.00,243.500000000000000000,16,5,3896.00,14,87.50,9.00,4.00
24-May-2024,228.50,242.00,228.50,240.00,237.901960784313725490,153,11,36399.00,125,81.70,13.50,11.50
23-May-2024,238.00,240.00,230.00,239.00,237.599476439790575916,382,8,90763.00,281,73.56,10.00,1.00
22-May-2024,231.55,245.40,231.25,233.00,238.578828828828828828,444,18,105929.00,344,77.48,14.15,1.45
21-May-2024,239.25,240.00,239.00,240.00,239.293333333333333333,150,7,35894.00,150,100.00,1.00,0.75
18-May-2024,220.00,239.20,217.50,234.55,223.189901207464324917,1822,30,406652.00,930,51.04,21.70,14.55
17-May-2024,229.50,235.90,225.00,228.00,231.505356017643352236,1587,56,367399.00,1509,95.08,10.90,-1.50
16-May-2024,243.00,243.00,220.45,225.00,222.106580829756795422,1398,40,310505.00,1021,73.03,22.55,-18.00
15-May-2024,234.25,245.50,222.55,232.05,224.621621621621621621,407,17,91421.00,374,91.89,22.95,-2.20
14-May-2024,258.20,258.20,234.00,234.25,244.534653465346534653,101,8,24698.00,101,100.00,24.20,-23.95
13-May-2024,237.70,247.00,228.00,246.15,229.763005780346820809,173,16,39749.00,172,99.42,19.00,8.45
10-May-2024,247.70,247.70,235.60,237.70,243.666666666666666666,210,17,51170.00,179,85.24,12.10,-10.00
9-May-2024,269.10,269.10,245.05,247.70,248.123711340206185567,194,11,48136.00,174,89.69,24.05,-21.40
8-May-2024,268.70,268.70,255.00,256.30,259.000000000000000000,59,11,15281.00,54,91.53,13.70,-12.40
7-May-2024,259.75,259.75,255.95,255.95,256.098214285714285714,112,6,28683.00,112,100.00,3.80,-3.80
6-May-2024,259.00,270.00,246.75,247.50,258.250936329588014981,534,16,137906.00,527,98.69,23.25,-11.50
3-May-2024,262.85,262.85,259.00,259.70,260.382352941176470588,102,9,26559.00,102,100.00,3.85,-3.15
2-May-2024,255.00,267.45,255.00,262.85,265.259398496240601503,266,17,70559.00,242,90.98,12.45,7.85
30-April-2024,255.00,255.00,255.00,255.00,255.000000000000000000,5,2,1275.00,5,100.00,0.00,0.00
29-April-2024,259.95,259.95,250.00,258.10,254.950495049504950495,101,9,25750.00,98,97.03,9.95,-1.85
26-April-2024,244.85,260.00,244.85,259.95,258.153333333333333333,150,8,38723.00,148,98.67,15.15,15.10
25-April-2024,257.65,265.10,257.50,257.55,258.096774193548387096,93,10,24003.00,87,93.55,7.60,-0.10
24-April-2024,250.90,255.00,250.00,252.55,252.462500000000000000,160,5,40394.00,160,100.00,5.00,1.65
23-April-2024,259.40,267.00,250.90,250.90,252.986111111111111111,144,10,36430.00,144,100.00,16.10,-8.50
22-April-2024,248.00,254.30,247.00,254.30,248.916442048517520215,371,10,92348.00,371,100.00,7.30,6.30
19-April-2024,227.10,248.00,227.10,246.55,242.731591448931116389,421,17,102190.00,300,71.26,20.90,19.45
18-April-2024,235.00,243.95,235.00,237.50,238.101404056162246489,641,26,152623.00,541,84.40,8.95,2.50
16-April-2024,239.00,254.00,229.95,233.15,235.798785776235906331,1153,36,271876.00,941,81.61,24.05,-5.85
15-April-2024,267.45,267.45,242.05,242.05,244.681462140992167101,383,13,93713.00,358,93.47,25.40,-25.40
12-April-2024,240.75,254.80,240.75,254.75,250.094101123595505617,1424,16,356134.00,1311,92.06,14.05,14.00
10-April-2024,250.00,262.00,242.25,242.70,246.190476190476190476,483,12,118910.00,483,100.00,19.75,-7.30
9-April-2024,255.35,255.35,255.00,255.00,255.085365853658536585,82,5,20917.00,82,100.00,0.35,-0.35
8-April-2024,277.70,277.70,260.00,260.00,261.363560033585222502,1191,18,311284.00,1191,100.00,17.70,-17.70
5-April-2024,269.00,271.85,255.00,264.50,265.829059829059829059,585,25,155510.00,432,73.85,16.85,-4.50
4-April-2024,271.95,271.95,254.30,258.95,261.194235588972431077,798,17,208433.00,631,79.07,17.65,-13.00
3-April-2024,259.60,259.60,258.50,259.30,259.426056338028169014,568,30,147354.00,470,82.75,1.10,-0.30
2-April-2024,254.95,254.95,247.25,247.25,248.523255813953488372,344,12,85492.00,344,100.00,7.70,-7.70
1-April-2024,268.00,268.00,254.35,254.55,255.950511945392491467,586,19,149987.00,464,79.18,13.65,-13.45
28-March-2024,255.00,267.90,254.90,267.70,256.220338983050847457,118,8,30234.00,106,89.83,13.00,12.70
27-March-2024,281.00,281.00,254.60,268.30,259.705583756345177664,197,17,51162.00,157,79.70,26.40,-12.70
26-March-2024,250.75,269.00,250.75,268.00,267.000000000000000000,228,15,60876.00,204,89.47,18.25,17.25
22-March-2024,251.10,263.90,251.10,263.90,253.177033492822966507,418,23,105828.00,354,84.69,12.80,12.80
21-March-2024,278.20,289.70,264.30,264.30,264.463223787167449139,639,13,168992.00,639,100.00,25.40,-13.90
20-March-2024,287.85,290.00,278.20,278.20,280.220302375809935205,463,19,129742.00,365,78.83,11.80,-9.65
19-March-2024,303.95,303.95,275.45,292.80,281.729670329670329670,455,29,128187.00,367,80.66,28.50,-11.15
18-March-2024,293.45,293.45,268.65,289.90,287.850746268656716417,67,12,19286.00,63,94.03,24.80,-3.55
15-March-2024,283.90,283.90,259.05,282.75,282.033333333333333333,60,8,16922.00,58,96.67,24.85,-1.15
14-March-2024,272.55,291.95,272.45,272.45,273.227053140096618357,621,14,169674.00,610,98.23,19.50,-0.10
13-March-2024,265.05,292.35,264.55,286.75,286.036529680365296803,1533,48,438494.00,1106,72.15,27.80,21.70
12-March-2024,287.85,299.90,273.50,278.45,286.301837270341207349,381,29,109081.00,309,81.10,26.40,-9.40
11-March-2024,302.95,318.05,287.85,287.85,289.931338028169014084,568,28,164681.00,535,94.19,30.20,-15.10
7-March-2024,279.80,305.00,279.80,302.95,293.699481865284974093,193,17,56684.00,191,98.96,25.20,23.15
6-March-2024,310.00,310.10,294.50,294.50,297.008670520231213872,346,18,102765.00,297,85.84,15.60,-15.50
5-March-2024,313.00,313.65,300.10,310.00,311.141004862236628849,617,28,191974.00,570,92.38,13.55,-3.00
4-March-2024,300.00,300.00,293.15,298.75,297.614765100671140939,745,35,221723.00,592,79.46,6.85,-1.25
2-March-2024,275.40,286.00,273.00,286.00,279.746031746031746031,126,13,35248.00,124,98.41,13.00,10.60
1-March-2024,274.95,274.95,253.35,273.30,267.096192384769539078,499,24,133281.00,390,78.16,21.60,-1.65
29-February-2024,270.05,274.00,266.65,266.65,268.438775510204081632,490,27,131535.00,430,87.76,7.35,-3.40
28-February-2024,289.50,289.50,280.65,280.65,281.270571827057182705,717,34,201671.00,717,100.00,8.85,-8.85
27-February-2024,293.00,302.30,275.05,295.40,297.503575076608784473,979,43,291256.00,955,97.55,27.25,2.40
26-February-2024,303.10,310.70,287.95,287.95,289.227110582639714625,1682,56,486480.00,1462,86.92,22.75,-15.15
23-February-2024,303.10,324.90,303.10,303.10,303.470959595959595959,792,41,240349.00,774,97.73,21.80,0.00
22-February-2024,319.05,319.05,319.05,319.05,319.047887323943661971,355,24,113262.00,354,99.72,0.00,0.00
21-February-2024,353.45,353.45,335.80,335.80,338.726775956284153005,915,74,309935.00,837,91.48,17.65,-17.65
20-February-2024,353.45,353.45,353.45,353.45,353.449991211109158024,5689,69,2010777.00,5000,87.89,0.00,0.00
19-February-2024,336.65,336.65,336.65,336.65,336.649868247694334650,3036,25,1022069.00,3036,100.00,0.00,0.00
16-February-2024,318.65,320.65,318.65,320.65,320.093457943925233644,535,13,171250.00,535,100.00,2.00,2.00
15-February-2024,336.00,336.00,304.50,305.40,321.027196652719665271,956,41,306902.00,956,100.00,31.50,-30.60
14-February-2024,325.00,325.00,310.00,320.50,317.973484848484848484,528,27,167890.00,528,100.00,15.00,-4.50
13-February-2024,310.00,313.85,286.00,310.25,309.615520282186948853,1134,47,351104.00,1134,100.00,27.85,0.25
12-February-2024,311.00,311.00,285.00,298.95,298.949152542372881355,59,8,17638.00,59,100.00,26.00,-12.05
9-February-2024,303.00,303.00,283.25,299.95,285.712589073634204275,421,16,120285.00,421,100.00,19.75,-3.05
8-February-2024,287.00,311.55,284.40,298.15,288.588888888888888888,990,21,285703.00,990,100.00,27.15,11.15
7-February-2024,299.95,304.50,277.40,299.35,299.754807692307692307,624,26,187047.00,624,100.00,27.10,-0.60
6-February-2024,302.00,305.00,285.50,292.00,301.923705722070844686,367,9,110806.00,367,100.00,19.50,-10.00
5-February-2024,300.00,310.00,285.00,300.50,290.316955684007707129,1038,34,301349.00,1038,100.00,25.00,0.50
2-February-2024,291.65,304.00,291.65,300.00,299.004175365344467640,479,30,143223.00,479,100.00,12.35,8.35
1-February-2024,308.00,308.00,307.00,307.00,307.027027027027027027,37,5,11360.00,37,100.00,1.00,-1.00
31-January-2024,318.00,318.00,291.00,308.95,311.332068311195445920,527,18,164072.00,527,100.00,27.00,-9.05
30-January-2024,305.90,312.00,284.95,305.95,302.558208955223880597,335,20,101357.00,335,100.00,27.05,0.05
