Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,29.40,29.40,27.51,27.90,28.740669715297241481,6779,58,194833.00,6027,88.91,1.89,-1.50
27-June-2024,30.00,30.00,27.50,28.00,28.642587601078167115,1855,35,53132.00,1683,90.73,2.50,-2.00
26-June-2024,28.49,28.49,27.25,27.57,27.646758839528558476,8824,48,243955.00,7496,84.95,1.24,-0.92
25-June-2024,28.61,29.95,27.45,27.85,27.919938176197836166,16175,71,451605.00,13527,83.63,2.50,-0.76
24-June-2024,28.46,28.46,26.65,27.87,27.610047846889952153,6270,29,173115.00,5840,93.14,1.81,-0.59
21-June-2024,28.88,28.88,27.51,27.52,27.900662251655629139,3020,34,84260.00,2899,95.99,1.37,-1.36
20-June-2024,28.85,29.94,27.51,28.23,28.323774550255817791,24236,76,686455.00,21950,90.57,2.43,-0.62
19-June-2024,30.00,30.00,28.51,28.60,28.901615901615901615,6993,46,202109.00,5964,85.29,1.49,-1.40
18-June-2024,30.00,30.00,28.15,29.00,28.977973568281938325,7945,79,230230.00,6057,76.24,1.85,-1.00
14-June-2024,29.10,31.95,29.10,29.86,30.197576934873734791,19562,143,590725.00,16998,86.89,2.85,0.76
13-June-2024,30.00,30.00,28.71,29.02,29.425047639212365022,9446,42,277949.00,9007,95.35,1.29,-0.98
12-June-2024,29.87,29.87,28.00,28.52,28.893305439330543933,1912,32,55244.00,1402,73.33,1.87,-1.35
11-June-2024,27.16,30.00,27.16,28.42,28.949805796235434717,3347,53,96895.00,2540,75.89,2.84,1.26
10-June-2024,30.00,30.00,28.00,28.31,28.812339880444064901,4684,46,134957.00,4524,96.58,2.00,-1.69
7-June-2024,28.25,29.25,27.70,27.86,28.179203899268887083,6155,55,173443.00,6001,97.50,1.55,-0.39
6-June-2024,25.85,28.00,25.85,27.81,26.846718249733191035,7496,64,201243.00,6666,88.93,2.15,1.96
5-June-2024,26.45,26.99,23.99,25.48,25.184773204795451736,24273,160,611310.00,17937,73.90,3.00,-0.97
4-June-2024,29.65,30.50,24.50,25.38,25.909760047107316355,13586,73,352010.00,7909,58.21,6.00,-4.27
3-June-2024,31.95,31.95,28.20,28.58,29.130568151507068551,7498,48,218421.00,5412,72.18,3.75,-3.37
31-May-2024,29.58,31.00,27.24,29.00,29.537745848545518784,16982,142,501610.00,15316,90.19,3.76,-0.58
30-May-2024,28.65,29.44,28.00,28.49,28.837178440179665169,9796,81,282489.00,8424,85.99,1.44,-0.16
29-May-2024,28.65,28.65,27.00,27.30,27.642608089260808926,8604,46,237837.00,6197,72.02,1.65,-1.35
28-May-2024,28.55,29.90,28.00,28.27,28.264072653252955452,12773,43,361017.00,11706,91.65,1.90,-0.28
27-May-2024,29.99,31.60,28.57,29.35,28.935688655810102125,3623,33,104834.00,3320,91.64,3.03,-0.64
24-May-2024,29.98,29.98,29.01,29.28,29.295932678821879382,713,30,20888.00,478,67.04,0.97,-0.70
23-May-2024,29.99,29.99,29.05,29.07,29.164779754542859861,10511,55,306551.00,9641,91.72,0.94,-0.92
22-May-2024,31.99,31.99,29.00,29.02,29.396902433802012704,28022,104,823760.00,26568,94.81,2.99,-2.97
21-May-2024,31.99,31.99,30.02,30.40,30.319587628865979381,18333,114,555849.00,14815,80.81,1.97,-1.59
18-May-2024,32.00,32.13,29.10,31.61,31.552479815455594002,867,70,27356.00,587,67.70,3.03,-0.39
17-May-2024,31.73,31.73,30.23,30.60,30.631326158498621364,11243,84,344388.00,7389,65.72,1.50,-1.13
16-May-2024,29.99,32.99,28.63,31.05,31.270597294027059729,36364,207,1137124.00,25097,69.02,4.36,1.06
15-May-2024,29.00,29.69,28.40,29.13,28.794584873613747627,10009,78,288205.00,6733,67.27,1.29,0.13
14-May-2024,29.50,29.99,28.05,28.49,29.111552653988078342,3523,66,102560.00,2908,82.54,1.94,-1.01
13-May-2024,29.64,29.64,28.18,28.96,28.886332882273342354,1478,45,42694.00,989,66.91,1.46,-0.68
10-May-2024,29.53,29.63,27.16,28.79,28.927354009499860296,3579,102,103531.00,2069,57.81,2.47,-0.74
9-May-2024,31.80,31.80,28.80,28.81,29.580935251798561151,1668,36,49341.00,1388,83.21,3.00,-2.99
8-May-2024,32.30,32.30,29.61,29.74,30.430551989730423620,7790,88,237054.00,5630,72.27,2.69,-2.56
7-May-2024,31.99,36.01,30.70,30.74,32.938321815179499724,32702,248,1077149.00,21390,65.41,5.31,-1.25
6-May-2024,29.60,31.99,28.20,30.31,29.882464962656589401,33607,241,1004260.00,27986,83.27,3.79,0.71
3-May-2024,28.75,29.32,28.50,28.65,28.808757637474541751,4910,53,141451.00,3795,77.29,0.82,-0.10
2-May-2024,31.80,31.80,28.61,29.32,29.371825715049452018,7482,77,219760.00,5838,78.03,3.19,-2.48
30-April-2024,29.46,31.00,26.41,29.94,30.071590982914311700,107751,391,3240244.00,61202,56.80,4.59,0.48
29-April-2024,27.30,29.98,27.30,27.67,27.828902714932126696,7072,57,196806.00,5826,82.38,2.68,0.37
26-April-2024,27.50,29.90,27.50,28.22,27.977438136826783114,5496,73,153764.00,2997,54.53,2.40,0.72
25-April-2024,29.94,29.94,27.00,28.48,28.072536811937938531,10119,72,284066.00,7485,73.97,2.94,-1.46
24-April-2024,27.76,28.74,27.30,28.05,27.863198458574181117,1038,23,28922.00,1035,99.71,1.44,0.29
23-April-2024,29.95,29.95,27.26,27.76,28.099807725922041601,5721,51,160759.00,4531,79.20,2.69,-2.19
22-April-2024,29.99,29.99,27.01,27.39,27.697070108126961981,5734,53,158815.00,3797,66.22,2.98,-2.60
19-April-2024,29.85,29.85,26.62,28.23,28.031392694063926940,5256,99,147333.00,4675,88.95,3.23,-1.62
18-April-2024,27.85,29.88,27.15,27.65,27.920525783619817997,4945,61,138067.00,3202,64.75,2.73,-0.20
16-April-2024,29.88,29.88,27.00,27.04,27.177072519650007415,6743,37,183255.00,5889,87.34,2.88,-2.84
15-April-2024,29.98,29.98,27.00,27.46,27.684857672225029476,5937,61,164365.00,4456,75.05,2.98,-2.52
12-April-2024,27.49,28.50,26.85,27.56,27.772662281955962253,10491,72,291363.00,8473,80.76,1.65,0.07
10-April-2024,28.90,28.90,27.00,27.97,27.864171445819498943,6626,54,184628.00,5293,79.88,1.90,-0.93
9-April-2024,28.99,29.00,27.50,27.51,27.922838637003660940,3551,34,99154.00,3003,84.57,1.50,-1.48
8-April-2024,29.00,29.85,27.01,28.52,28.617269347752619128,17754,139,508071.00,13383,75.38,2.84,-0.48
5-April-2024,26.99,29.00,24.46,28.18,27.672744641967104170,48152,189,1332498.00,31768,65.97,4.54,1.19
4-April-2024,28.00,28.00,23.80,25.01,25.373893021608218207,11292,103,286522.00,6691,59.25,4.20,-2.99
3-April-2024,28.00,28.00,25.02,26.53,26.917808219178082191,2044,69,55020.00,1655,80.97,2.98,-1.47
2-April-2024,28.00,28.00,25.32,25.85,26.045787545787545787,1092,33,28442.00,701,64.19,2.68,-2.15
1-April-2024,27.98,27.98,25.06,26.80,26.669479606188466947,2133,33,56886.00,1639,76.84,2.92,-1.18
28-March-2024,27.50,27.50,24.50,25.57,25.797889182058047493,1895,38,48887.00,1512,79.79,3.00,-1.93
27-March-2024,27.99,27.99,24.50,24.84,25.749249249249249249,666,38,17149.00,638,95.80,3.49,-3.15
26-March-2024,29.00,29.00,24.73,25.19,25.553864366649754777,5913,73,151100.00,5168,87.40,4.27,-3.81
22-March-2024,27.99,27.99,25.71,26.10,26.360818713450292397,22230,43,586001.00,16199,72.87,2.28,-1.89
21-March-2024,25.99,25.99,24.51,25.80,25.477572559366754617,379,21,9656.00,376,99.21,1.48,-0.19
20-March-2024,27.99,27.99,24.31,24.51,25.259911894273127753,1816,49,45872.00,1564,86.12,3.68,-3.48
19-March-2024,25.90,27.99,24.89,25.80,25.846694487151328794,18212,113,470720.00,12674,69.59,3.10,-0.10
18-March-2024,29.00,29.00,24.32,24.40,25.170970094821298322,13710,53,345094.00,10568,77.08,4.68,-4.60
15-March-2024,26.40,27.40,24.50,25.88,25.657858136300417246,2157,48,55344.00,1474,68.34,2.90,-0.52
14-March-2024,28.90,28.90,23.20,26.00,25.179569892473118279,930,36,23417.00,914,98.28,5.70,-2.90
13-March-2024,29.89,29.89,24.70,25.50,25.374753883176547801,4571,50,115988.00,3885,84.99,5.19,-4.39
12-March-2024,29.85,29.85,25.25,25.81,26.706044968669369701,10852,140,289814.00,6654,61.32,4.60,-4.04
11-March-2024,27.50,29.84,27.00,28.49,28.199285430726478761,10076,117,284136.00,6999,69.46,2.84,0.99
7-March-2024,27.45,27.45,25.55,26.28,26.121921370659323848,6537,66,170759.00,4704,71.96,1.90,-1.17
6-March-2024,28.50,28.50,26.25,26.56,27.031575223326159379,33919,113,916884.00,29757,87.73,2.25,-1.94
5-March-2024,29.69,29.78,28.50,28.86,29.087082789679700324,23759,38,691080.00,23309,98.11,1.28,-0.83
4-March-2024,30.00,31.80,29.00,29.32,29.531186188973454612,10774,77,318169.00,8925,82.84,2.80,-0.68
2-March-2024,30.56,31.30,29.00,31.21,30.633484162895927601,2431,30,74470.00,1978,81.37,2.30,0.65
1-March-2024,31.80,31.80,29.26,29.82,29.896404566307478928,18746,161,560438.00,13784,73.53,2.54,-1.98
29-February-2024,29.10,31.00,28.80,29.56,29.869747681467281488,19301,121,576516.00,13700,70.98,2.20,0.46
28-February-2024,32.64,32.70,29.70,29.91,30.855595906239683063,15145,124,467308.00,12453,82.23,3.00,-2.73
27-February-2024,32.30,33.80,31.06,31.42,31.814870395634379263,14660,92,466406.00,12246,83.53,2.74,-0.88
26-February-2024,34.94,34.94,30.70,32.35,32.411714662469692458,23509,145,761967.00,12273,52.21,4.24,-2.59
23-February-2024,33.90,34.80,32.33,34.13,33.890487634700364369,64495,298,2185767.00,50850,78.84,2.47,0.23
22-February-2024,33.90,33.90,31.01,32.32,32.070788408170692871,21981,192,704948.00,15275,69.49,2.89,-1.58
21-February-2024,30.05,32.70,29.00,31.41,31.528102172431824303,126218,423,3979414.00,106744,84.57,3.70,1.36
20-February-2024,27.50,31.80,24.90,30.10,29.543502060568870417,143407,519,4236745.00,88838,61.95,6.90,2.60
19-February-2024,30.90,30.90,27.05,27.76,27.970605675561202880,23610,171,660386.00,15845,67.11,3.85,-3.14
16-February-2024,25.85,29.69,24.21,28.96,28.436945014583558388,138855,463,3948612.00,72019,51.87,5.48,3.11
15-February-2024,26.95,26.95,24.60,25.55,25.388943731490621915,6078,57,154314.00,4218,69.40,2.35,-1.40
14-February-2024,27.50,27.50,24.55,25.82,26.189870542811719282,17612,99,461256.00,13828,78.51,2.95,-1.68
13-February-2024,26.25,27.96,25.21,26.38,26.290861014708312675,30255,160,795430.00,19786,65.40,2.75,0.13
12-February-2024,27.20,29.60,25.28,27.97,27.783952916244839723,190639,662,5296705.00,102890,53.97,4.32,0.77
9-February-2024,23.75,28.20,22.27,27.76,26.196590323488941661,188229,445,4930958.00,100814,53.56,5.93,4.01
8-February-2024,23.48,23.75,23.00,23.50,23.454259197878687437,12068,58,283046.00,11306,93.69,0.75,0.02
7-February-2024,22.82,23.38,20.20,23.04,22.238801542568970631,23597,119,524769.00,16985,71.98,3.18,0.22
6-February-2024,23.44,23.44,21.50,22.82,22.384168676851603680,33579,87,751638.00,30754,91.59,1.94,-0.62
5-February-2024,23.95,23.95,22.61,22.76,23.072738641100458524,4798,56,110703.00,4155,86.60,1.34,-1.19
2-February-2024,24.50,24.50,22.99,23.28,23.550546322651730786,10891,94,256489.00,9601,88.16,1.51,-1.22
1-February-2024,24.74,24.74,23.00,23.85,23.737816206945833928,13994,70,332187.00,12574,89.85,1.74,-0.89
31-January-2024,24.30,25.84,23.16,24.11,24.039729879807261719,55827,155,1342066.00,49510,88.68,2.68,-0.19
30-January-2024,27.50,28.00,24.29,25.07,25.475559657835209692,76922,250,1959631.00,59146,76.89,3.71,-2.43
29-January-2024,24.41,27.99,23.60,27.10,25.870137550600063218,98073,217,2537162.00,39112,39.88,4.39,2.69
25-January-2024,26.75,26.75,24.21,24.41,24.861747243426632739,2358,36,58624.00,1866,79.13,2.54,-2.34
24-January-2024,25.98,26.71,24.71,25.91,25.632716927453769559,3515,51,90099.00,3160,89.90,2.00,-0.07
23-January-2024,27.75,27.75,25.04,25.22,25.324257014776689357,12046,56,305056.00,10933,90.76,2.71,-2.53
20-January-2024,29.75,29.75,25.99,26.93,26.921540522855451344,32093,137,863993.00,25049,78.05,3.76,-2.82
19-January-2024,31.50,31.50,26.30,27.85,27.845416213275299238,29408,145,818878.00,16037,54.53,5.20,-3.65
18-January-2024,29.75,29.75,26.25,27.82,27.316642725220603324,29238,117,798684.00,17862,61.09,3.50,-1.93
17-January-2024,31.25,31.25,27.40,29.11,29.235640059381066575,35028,132,1024066.00,29653,84.66,3.85,-2.14
16-January-2024,31.00,31.00,26.60,29.73,29.137882562277580071,56200,262,1637549.00,50220,89.36,4.40,-1.27
