Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,164.95,164.95,155.00,160.90,162.063688541594633842,14461,71,2343603.00,14048,97.14,9.95,-4.05
27-June-2024,154.00,154.00,154.00,154.00,154.000000000000000000,100,10,15400.00,100,100.00,0.00,0.00
26-June-2024,150.95,154.00,150.95,154.00,151.201834862385321100,109,4,16481.00,109,100.00,3.05,3.05
25-June-2024,162.00,165.00,153.10,154.00,159.716836734693877551,784,37,125218.00,675,86.10,11.90,-8.00
24-June-2024,158.00,158.00,150.25,155.00,154.912371134020618556,582,17,90159.00,392,67.35,7.75,-3.00
21-June-2024,164.00,164.00,141.35,148.50,154.912500000000000000,80,13,12393.00,61,76.25,22.65,-15.50
20-June-2024,153.60,158.00,152.00,152.30,153.166233766233766233,385,24,58969.00,360,93.51,6.00,-1.30
19-June-2024,149.70,153.60,141.80,153.60,147.530909090909090909,550,23,81142.00,546,99.27,11.80,3.90
18-June-2024,149.00,150.05,149.00,150.00,149.913043478260869565,23,5,3448.00,23,100.00,1.05,1.00
14-June-2024,152.70,152.70,147.00,148.00,147.314814814814814814,432,13,63640.00,432,100.00,5.70,-4.70
13-June-2024,165.00,165.00,145.50,150.00,153.491978609625668449,187,14,28703.00,161,86.10,19.50,-15.00
12-June-2024,156.80,156.80,145.50,146.15,154.002364066193853427,423,16,65143.00,343,81.09,11.30,-10.65
11-June-2024,150.00,150.00,150.00,150.00,150.000000000000000000,108,6,16200.00,108,100.00,0.00,0.00
10-June-2024,164.00,164.00,148.25,148.80,156.339325842696629213,445,21,69571.00,387,86.97,15.75,-15.20
7-June-2024,144.00,153.95,144.00,153.80,144.908730158730158730,252,5,36517.00,251,99.60,9.95,9.80
6-June-2024,149.00,154.95,142.00,144.00,144.151111111111111111,900,26,129736.00,898,99.78,12.95,-5.00
5-June-2024,149.00,150.00,149.00,150.00,149.994285714285714285,175,4,26249.00,175,100.00,1.00,1.00
4-June-2024,157.50,157.50,150.00,150.50,150.578947368421052631,703,11,105857.00,703,100.00,7.50,-7.00
3-June-2024,178.30,178.30,147.40,150.35,155.362025316455696202,790,51,122736.00,630,79.75,30.90,-27.95
31-May-2024,168.65,171.00,160.10,162.35,164.231914893617021276,470,20,77189.00,405,86.17,10.90,-6.30
30-May-2024,156.25,157.20,156.25,157.10,156.770114942528735632,261,7,40917.00,211,80.84,0.95,0.85
29-May-2024,158.10,162.00,155.00,161.70,159.113744075829383886,211,15,33573.00,204,96.68,7.00,3.60
28-May-2024,163.50,163.50,156.25,158.10,157.189964157706093189,279,10,43856.00,194,69.53,7.25,-5.40
