Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,76.50,76.50,72.05,73.82,74.198320671731307477,2501,60,185570.00,1911,76.41,4.45,-2.68
27-June-2024,72.45,75.48,70.95,75.40,74.211007820569573557,6777,90,502928.00,5176,76.38,4.53,2.95
26-June-2024,76.99,76.99,70.50,71.03,71.966325519973588643,3029,72,217986.00,2135,70.49,6.49,-5.96
25-June-2024,72.00,72.20,70.10,71.97,71.256257449344457687,839,39,59784.00,833,99.28,2.10,-0.03
24-June-2024,75.99,75.99,70.17,72.96,72.359161349134001823,4388,69,317512.00,2609,59.46,5.82,-3.03
21-June-2024,73.50,73.50,71.01,72.82,72.428615196078431372,3264,64,236407.00,2088,63.97,2.49,-0.68
20-June-2024,77.60,77.60,70.15,72.41,72.119546742209631728,1765,45,127291.00,1085,61.47,7.45,-5.19
19-June-2024,73.00,73.00,69.00,71.58,70.659784946236559139,2325,80,164284.00,1876,80.69,4.00,-1.42
18-June-2024,75.00,75.00,71.00,72.20,72.268203883495145631,5768,107,416843.00,4468,77.46,4.00,-2.80
14-June-2024,75.01,77.74,73.05,74.53,75.268761360685536224,3851,86,289860.00,3124,81.12,4.69,-0.48
13-June-2024,75.00,78.60,73.27,76.83,77.243497926875235582,7959,94,614781.00,7067,88.79,5.33,1.83
12-June-2024,80.38,80.38,71.00,75.08,75.188479189745212850,6319,139,475116.00,4961,78.51,9.38,-5.30
11-June-2024,66.40,73.19,65.85,73.08,71.583632964188120235,6953,134,497721.00,6258,90.00,7.34,6.68
10-June-2024,71.00,71.00,65.10,66.54,67.508665511265164644,2308,52,155810.00,1762,76.34,5.90,-4.46
7-June-2024,66.50,66.50,64.15,64.85,66.187419768934531450,779,33,51560.00,779,100.00,2.35,-1.65
6-June-2024,63.10,66.25,63.00,65.01,63.609686609686609686,702,33,44654.00,574,81.77,3.25,1.91
5-June-2024,58.90,63.10,57.21,63.10,62.386351228389444949,5495,44,342813.00,5120,93.18,5.89,4.20
4-June-2024,63.82,63.82,58.97,60.10,61.210478359908883826,2195,52,134357.00,943,42.96,4.85,-3.72
3-June-2024,63.90,66.36,61.00,62.06,64.029451744449478930,2207,51,141313.00,1912,86.63,5.36,-1.84
31-May-2024,63.11,65.00,63.11,63.20,63.781403665623603039,2237,33,142679.00,1565,69.96,1.89,0.09
30-May-2024,61.80,64.86,60.50,63.10,62.492843951985226223,4332,51,270719.00,3367,77.72,4.36,1.30
29-May-2024,59.81,64.09,59.81,63.11,62.772628135223555070,3668,62,230250.00,2962,80.75,4.28,3.30
28-May-2024,65.00,65.00,61.00,61.82,62.248878008975928192,4902,70,305144.00,4228,86.25,4.00,-3.18
27-May-2024,67.10,67.10,63.29,64.00,64.717254712421459642,2069,51,133900.00,1251,60.46,3.81,-3.10
24-May-2024,65.43,68.51,63.70,65.31,67.556763285024154589,3312,57,223748.00,2373,71.65,4.81,-0.12
23-May-2024,65.41,68.49,65.41,65.57,66.125496425734710087,1259,46,83252.00,880,69.90,3.08,0.16
22-May-2024,65.11,68.63,65.11,67.26,67.430973968996782684,6838,73,461093.00,4873,71.26,3.52,2.15
21-May-2024,66.15,66.15,63.01,65.37,64.541866028708133971,2508,64,161871.00,1444,57.58,3.14,-0.78
18-May-2024,61.32,63.00,61.32,63.00,61.550000000000000000,40,5,2462.00,35,87.50,1.68,1.68
