Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,93.99,93.99,91.50,91.91,92.913764510779436152,3618,116,336162.00,2509,69.35,2.49,-2.08
27-June-2024,94.74,101.00,91.24,93.18,95.218081014404329256,37697,1095,3589436.00,11089,29.42,9.76,-1.56
26-June-2024,94.66,94.66,91.50,91.57,93.440309328177863702,2069,93,193328.00,1548,74.82,3.16,-3.09
25-June-2024,93.00,93.50,90.40,91.49,92.085846867749419953,862,62,79378.00,695,80.63,3.10,-1.51
24-June-2024,93.32,93.32,92.00,92.10,92.680402930402930402,1092,44,101207.00,910,83.33,1.32,-1.22
21-June-2024,93.10,95.05,92.40,93.32,94.370238288215269897,6169,143,582170.00,5025,81.46,2.65,0.22
20-June-2024,93.50,93.50,92.75,92.81,93.136363636363636363,88,9,8196.00,45,51.14,0.75,-0.69
19-June-2024,99.27,99.27,92.60,92.84,93.659646739130434782,1472,56,137867.00,1091,74.12,6.67,-6.43
18-June-2024,94.00,98.00,93.05,94.99,94.989208633093525179,6116,31,580954.00,5595,91.48,4.95,0.99
14-June-2024,95.51,95.51,93.59,94.21,94.862109605185621685,1697,89,160981.00,1501,88.45,1.92,-1.30
13-June-2024,95.05,95.25,93.85,94.87,94.555461830451286377,2371,179,224191.00,1911,80.60,1.40,-0.18
12-June-2024,93.28,98.15,92.84,93.08,95.927037271004421983,15830,575,1518525.00,12076,76.29,5.31,-0.20
11-June-2024,93.13,93.43,91.21,92.64,92.502894356005788712,1382,63,127839.00,1243,89.94,2.22,-0.49
10-June-2024,100.90,100.90,90.89,92.51,92.372203996421115419,3353,101,309724.00,733,21.86,10.01,-8.39
7-June-2024,89.90,91.30,89.85,90.08,90.313291139240506329,2212,81,199773.00,1843,83.32,1.45,0.18
6-June-2024,86.90,90.00,86.90,88.27,88.789473684210526315,2185,97,194005.00,1384,63.34,3.10,1.37
5-June-2024,83.34,88.74,83.34,85.74,86.804873892297205180,5868,187,509371.00,4734,80.67,5.40,2.40
4-June-2024,91.74,91.74,74.10,83.90,81.579709131589987414,14302,455,1166753.00,8969,62.71,17.64,-7.84
3-June-2024,90.70,95.00,90.00,92.58,93.113145181795067378,7866,202,732428.00,6233,79.24,5.00,1.88
31-May-2024,92.95,93.00,90.50,91.40,92.233287858117326057,733,58,67607.00,486,66.30,2.50,-1.55
30-May-2024,92.65,94.00,90.30,90.55,92.030516431924882629,2556,58,235230.00,2299,89.95,3.70,-2.10
29-May-2024,90.80,94.00,90.40,94.00,92.169448659585230146,1977,108,182219.00,1399,70.76,3.60,3.20
28-May-2024,93.85,96.00,90.40,91.75,92.500786051164784907,20991,305,1941684.00,15668,74.64,5.60,-2.10
27-May-2024,98.15,98.25,93.70,94.40,95.800729040097205346,1646,57,157688.00,1377,83.66,4.55,-3.75
24-May-2024,99.05,99.10,96.20,96.20,98.166847237269772481,923,107,90608.00,715,77.46,2.90,-2.85
23-May-2024,97.05,100.60,97.05,98.05,98.576027397260273972,2920,113,287842.00,2739,93.80,3.55,1.00
22-May-2024,100.60,100.70,97.65,98.95,99.550000000000000000,2220,54,221001.00,1856,83.60,3.05,-1.65
21-May-2024,99.40,100.75,96.60,99.10,98.791314066741178349,6263,188,618730.00,4751,75.86,4.15,-0.30
18-May-2024,98.75,99.60,96.45,97.45,98.377066115702479338,2904,118,285687.00,2393,82.40,3.15,-1.30
17-May-2024,98.50,101.85,97.20,98.80,98.719288793103448275,1856,169,183223.00,1075,57.92,4.65,0.30
16-May-2024,104.00,104.00,96.80,97.25,98.457164375823762003,5311,199,522906.00,3462,65.19,7.20,-6.75
15-May-2024,97.90,98.70,96.75,97.35,97.895722672630696114,3577,110,350173.00,2812,78.61,1.95,-0.55
14-May-2024,99.75,101.00,96.05,96.95,98.605612998522895125,2708,153,267024.00,1619,59.79,4.95,-2.80
13-May-2024,100.00,105.70,97.65,99.05,100.076854066985645933,3344,279,334657.00,1553,46.44,8.05,-0.95
10-May-2024,108.15,108.15,98.20,100.25,102.212558869701726844,28665,1060,2929923.00,17157,59.85,9.95,-7.90
9-May-2024,115.05,117.60,102.60,106.00,111.586882467587492585,59005,730,6584184.00,36433,61.75,15.00,-9.05
8-May-2024,94.85,110.40,94.85,110.40,108.367552750184990021,178388,4031,19331471.00,49297,27.63,15.55,15.55
7-May-2024,96.10,96.10,90.80,92.00,93.529159519725557461,2332,82,218110.00,2074,88.94,5.30,-4.10
6-May-2024,98.65,103.15,95.10,95.65,99.413424124513618677,3084,105,306591.00,2508,81.32,8.05,-3.00
3-May-2024,99.45,101.10,96.80,98.55,98.711115829705913578,9419,266,929760.00,3873,41.12,4.30,-0.90
2-May-2024,101.85,103.45,99.00,99.30,101.624331027281033807,7661,177,778544.00,6970,90.98,4.45,-2.55
30-April-2024,112.00,115.70,100.34,101.22,105.710200890741969108,42212,827,4462239.00,29236,69.26,15.36,-10.78
29-April-2024,93.84,110.40,93.84,110.40,107.346155617579056935,108561,2028,11653606.00,47574,43.82,16.56,16.56
26-April-2024,92.51,93.05,92.00,92.00,92.465465465465465465,333,18,30791.00,296,88.89,1.05,-0.51
25-April-2024,93.05,93.85,91.53,92.24,92.586421777632010495,3049,121,282296.00,2432,79.76,2.32,-0.81
24-April-2024,92.95,94.90,91.95,92.55,93.391451068616422947,889,43,83025.00,661,74.35,2.95,-0.40
23-April-2024,90.20,93.00,90.20,92.18,92.099783080260303687,1383,29,127374.00,1203,86.98,2.80,1.98
22-April-2024,94.91,94.91,90.90,92.27,94.307922769640479360,3004,33,283301.00,2800,93.21,4.01,-2.64
19-April-2024,88.00,93.13,88.00,92.49,91.323103154305200341,1173,80,107122.00,898,76.56,5.13,4.49
18-April-2024,93.16,95.00,89.00,89.73,91.174298540965207631,8910,243,812363.00,7063,79.27,6.00,-3.43
16-April-2024,88.21,99.00,88.21,92.49,95.554651396423548322,9954,280,951151.00,8103,81.40,10.79,4.28
15-April-2024,90.20,91.20,88.21,89.15,90.405839416058394160,2055,54,185784.00,1639,79.76,2.99,-1.05
12-April-2024,93.30,94.50,91.02,91.71,92.700534759358288770,2431,82,225355.00,2057,84.62,3.48,-1.59
10-April-2024,93.46,95.70,93.15,94.79,94.322848664688427299,1685,86,158934.00,1036,61.48,2.55,1.33
9-April-2024,91.14,97.00,91.14,93.45,95.248807901907356948,5872,210,559301.00,3015,51.35,5.86,2.31
8-April-2024,96.00,97.00,92.19,93.30,94.638918067226890756,15232,374,1441540.00,10972,72.03,4.81,-2.70
5-April-2024,106.80,106.80,95.40,96.45,99.082535908105931309,52147,1205,5166857.00,39552,75.85,11.40,-10.35
4-April-2024,87.60,104.94,87.60,104.74,103.042846221839986621,167436,2536,17253082.00,74689,44.61,17.34,17.14
3-April-2024,85.99,88.45,85.99,87.45,87.747663551401869158,963,73,84501.00,617,64.07,2.46,1.46
2-April-2024,84.45,85.00,84.45,84.76,84.819819819819819819,111,10,9415.00,74,66.67,0.55,0.31
