Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,79.42,79.42,75.00,79.42,79.182671518219690977,18963,160,1501541.00,18963,100.00,4.42,0.00
27-June-2024,75.64,75.64,75.64,75.64,75.639949510886715052,3169,25,239703.00,3169,100.00,0.00,0.00
26-June-2024,72.04,72.04,72.04,72.04,72.039767216294859359,1031,14,74273.00,1031,100.00,0.00,0.00
25-June-2024,68.61,68.61,68.61,68.61,68.609901503369621565,3858,10,264697.00,3858,100.00,0.00,0.00
24-June-2024,59.30,65.35,59.13,65.35,63.070074669730040206,8705,57,549025.00,8705,100.00,6.22,6.05
21-June-2024,62.24,62.24,62.24,62.24,62.239316239316239316,117,7,7282.00,117,100.00,0.00,0.00
20-June-2024,63.51,63.51,63.51,63.51,63.507407407407407407,270,12,17147.00,270,100.00,0.00,0.00
19-June-2024,64.80,64.80,64.80,64.80,64.799769518870642466,3471,13,224920.00,3471,100.00,0.00,0.00
18-June-2024,66.12,66.12,66.12,66.12,66.119634703196347031,1095,11,72401.00,1095,100.00,0.00,0.00
14-June-2024,67.46,67.46,67.46,67.46,67.459605026929982046,2228,11,150300.00,2228,100.00,0.00,0.00
13-June-2024,68.83,68.83,68.83,68.83,68.829959514170040485,3211,7,221013.00,3211,100.00,0.00,0.00
12-June-2024,70.23,70.23,70.23,70.23,70.225806451612903225,155,11,10885.00,155,100.00,0.00,0.00
11-June-2024,71.66,71.66,71.66,71.66,71.659973226238286479,2988,13,214120.00,2988,100.00,0.00,0.00
10-June-2024,73.12,73.12,73.12,73.12,73.117302052785923753,341,7,24933.00,341,100.00,0.00,0.00
7-June-2024,74.61,74.61,74.61,74.61,74.609803921568627450,1020,11,76102.00,1020,100.00,0.00,0.00
6-June-2024,76.13,76.13,76.13,76.13,76.129588431590656284,1798,28,136881.00,1798,100.00,0.00,0.00
5-June-2024,77.68,77.68,77.68,77.68,77.679494227597581088,1819,11,141299.00,1819,100.00,0.00,0.00
4-June-2024,76.16,76.16,76.16,76.16,76.159656264133876074,2211,16,168389.00,2211,100.00,0.00,0.00
3-June-2024,74.67,74.67,74.67,74.67,74.669763513513513513,1184,15,88409.00,1184,100.00,0.00,0.00
31-May-2024,73.21,73.21,73.21,73.21,73.209956709956709956,4158,12,304407.00,4158,100.00,0.00,0.00
30-May-2024,71.78,71.78,71.78,71.78,71.780000000000000000,1150,11,82547.00,1150,100.00,0.00,0.00
29-May-2024,70.38,70.38,70.38,70.38,70.379891514916698953,5162,54,363301.00,5162,100.00,0.00,0.00
