Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,694.05,705.65,685.05,691.45,698.002174588381484933,3219,418,2246869.00,1796,55.79,20.60,-2.60
27-June-2024,711.90,711.90,672.25,682.50,687.851054284432480933,2229,290,1533220.00,1085,48.68,39.65,-29.40
26-June-2024,711.00,717.45,697.25,699.80,706.951207243460764587,1988,265,1405419.00,885,44.52,20.20,-11.20
25-June-2024,723.60,737.00,711.70,719.05,725.842237708091366627,5166,552,3749701.00,3118,60.36,25.30,-4.55
24-June-2024,716.60,728.30,693.20,724.15,707.188954815152898219,4382,435,3098902.00,1603,36.58,35.10,7.55
21-June-2024,729.90,729.90,709.70,715.70,719.121135149338705439,11417,1058,8210206.00,5476,47.96,20.20,-14.20
20-June-2024,710.05,732.00,710.05,719.95,724.699018490929804574,22822,1417,16539081.00,14671,64.28,21.95,9.90
19-June-2024,672.00,709.95,672.00,707.60,697.036275357161014794,39338,1105,27420013.00,30767,78.21,37.95,35.60
18-June-2024,625.00,677.00,619.55,672.00,638.887479593118171543,7963,400,5087461.00,6293,79.03,57.45,47.00
14-June-2024,614.80,621.25,606.70,618.75,613.838783269961977186,1315,110,807198.00,484,36.81,14.55,3.95
13-June-2024,607.65,617.95,603.00,614.80,613.039106145251396648,1074,87,658404.00,720,67.04,14.95,7.15
12-June-2024,615.30,625.50,602.40,603.05,609.733414485696895922,3286,280,2003584.00,2573,78.30,23.10,-12.25
11-June-2024,605.00,614.90,601.80,607.95,607.439092495636998254,2865,252,1740313.00,1779,62.09,13.10,2.95
10-June-2024,567.00,605.95,567.00,589.55,590.678266579120157583,3046,368,1799206.00,2164,71.04,38.95,22.55
7-June-2024,556.90,571.95,550.80,562.80,562.018534119629317607,1187,128,667116.00,788,66.39,21.15,5.90
6-June-2024,551.70,566.00,544.30,551.65,558.311000000000000000,1000,120,558311.00,472,47.20,21.70,-0.05
5-June-2024,520.70,561.00,513.65,551.40,539.866735537190082644,1936,249,1045182.00,1051,54.29,47.35,30.70
4-June-2024,522.00,522.00,475.50,502.10,498.534924252580774902,7459,513,3718572.00,5837,78.25,46.50,-19.90
3-June-2024,531.05,540.90,515.20,519.30,529.104154969118472768,3562,461,1884669.00,2415,67.80,25.70,-11.75
31-May-2024,533.40,538.15,527.60,529.60,533.347209082308420056,1057,176,563748.00,512,48.44,10.55,-3.80
30-May-2024,542.90,542.90,527.30,531.55,534.758034026465028355,529,99,282887.00,303,57.28,15.60,-11.35
29-May-2024,570.85,570.85,530.00,532.25,543.159537933187636590,3203,492,1739740.00,1757,54.85,40.85,-38.60
28-May-2024,565.60,579.10,562.10,568.70,568.688427299703264094,1348,329,766592.00,674,50.00,17.00,3.10
27-May-2024,560.25,570.10,555.05,560.00,558.738766980146290491,957,152,534713.00,505,52.77,15.05,-0.25
24-May-2024,577.75,577.75,558.30,560.00,564.130897009966777408,1505,125,849017.00,870,57.81,19.45,-17.75
23-May-2024,578.35,580.30,563.20,566.40,571.660098522167487684,609,125,348141.00,268,44.01,17.10,-11.95
22-May-2024,589.40,589.40,573.10,575.60,577.672351885098743267,1114,178,643527.00,894,80.25,16.30,-13.80
21-May-2024,610.00,610.00,574.10,577.80,582.132863021751910640,1701,164,990208.00,883,51.91,35.90,-32.20
18-May-2024,585.00,587.50,573.00,581.05,582.664884135472370766,1122,73,653750.00,954,85.03,14.50,-3.95
17-May-2024,580.50,585.90,574.55,582.00,580.276375672321059164,4834,408,2805056.00,3601,74.49,11.35,1.50
16-May-2024,555.65,585.00,542.00,582.85,563.400670890793887439,2683,472,1511604.00,998,37.20,43.00,27.20
15-May-2024,553.45,565.95,552.75,555.35,559.077551020408163265,735,141,410922.00,486,66.12,13.20,1.90
14-May-2024,544.30,565.95,544.30,564.30,559.590072057646116893,1249,176,698928.00,788,63.09,21.65,20.00
13-May-2024,536.45,555.85,514.95,553.05,529.841689098250336473,5944,651,3149379.00,4102,69.01,40.90,16.60
10-May-2024,564.35,565.15,536.90,540.90,552.151702786377708978,2584,227,1426760.00,969,37.50,28.25,-23.45
