Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,117.10,118.15,116.75,117.50,117.287133631395926477,2013,96,236099.00,1617,80.33,1.40,0.40
27-June-2024,118.70,119.00,116.15,116.70,117.539046217972293735,8157,254,958766.00,7150,87.65,2.85,-2.00
26-June-2024,120.25,120.75,117.35,117.95,119.183663179125173326,7933,305,945484.00,7389,93.14,3.40,-2.30
25-June-2024,121.20,121.20,117.25,118.10,119.323455409561084707,3577,109,426820.00,3183,88.99,3.95,-3.10
24-June-2024,123.45,123.70,117.00,118.65,122.357158761968381206,8982,442,1099012.00,7604,84.66,6.70,-4.80
21-June-2024,118.30,120.50,117.60,119.85,119.152535114765330592,11676,408,1391225.00,7544,64.61,2.90,1.55
20-June-2024,122.50,122.50,116.65,117.95,118.252069373275522270,5074,261,600011.00,3395,66.91,5.85,-4.55
19-June-2024,118.00,120.20,116.35,118.15,117.632410256410256410,9750,163,1146916.00,8068,82.75,3.85,0.15
18-June-2024,120.85,120.95,118.20,118.60,119.639176928062216461,6172,231,738413.00,2511,40.68,2.75,-2.25
14-June-2024,119.00,120.40,117.30,118.45,118.609630668536699392,6417,244,761118.00,4637,72.26,3.10,-0.55
13-June-2024,121.70,122.00,118.00,119.00,120.156481481481481481,3240,152,389307.00,2493,76.94,4.00,-2.70
12-June-2024,123.00,123.65,120.00,120.55,122.071508798202920254,5342,213,652106.00,3199,59.88,3.65,-2.45
11-June-2024,123.45,125.00,120.10,120.75,122.254759238521836506,7144,404,873388.00,4982,69.74,4.90,-2.70
10-June-2024,119.50,121.75,116.25,119.35,119.156696336162285241,9662,358,1151292.00,7417,76.76,5.50,-0.15
7-June-2024,115.30,116.00,110.00,114.55,114.128028702019953801,20347,972,2322163.00,12226,60.09,6.00,-0.75
6-June-2024,120.95,120.95,110.50,112.40,112.170569451836083022,3758,149,421537.00,3094,82.33,10.45,-8.55
5-June-2024,106.95,108.90,100.25,107.55,103.800209205020920502,2868,139,297699.00,1935,67.47,8.65,0.60
4-June-2024,110.60,111.30,100.00,104.85,106.826432593574031136,18114,479,1935054.00,11594,64.01,11.30,-5.75
3-June-2024,116.95,119.00,114.00,114.70,115.866637420486948892,4559,169,528236.00,3333,73.11,5.00,-2.25
31-May-2024,122.05,122.05,113.55,114.62,115.529524891822195026,22879,881,2643200.00,15098,65.99,8.50,-7.43
30-May-2024,127.41,131.94,119.65,121.48,123.998498913323755847,108588,1985,13464749.00,62998,58.02,12.29,-5.93
29-May-2024,113.01,120.18,108.60,120.18,116.875417975478771912,19738,256,2306887.00,17527,88.80,11.58,7.17
28-May-2024,101.80,101.80,98.90,100.15,100.128221244500314267,1591,79,159304.00,1351,84.92,2.90,-1.65
27-May-2024,109.95,109.95,99.75,101.45,101.857397504456327985,1122,46,114284.00,802,71.48,10.20,-8.50
24-May-2024,101.94,101.94,99.50,99.78,100.540229885057471264,1131,68,113711.00,675,59.68,2.44,-2.16
23-May-2024,102.01,102.01,99.84,100.35,100.649257833974711379,1819,92,183081.00,1352,74.33,2.17,-1.66
22-May-2024,101.80,102.00,100.07,101.01,100.925839552238805970,2144,98,216385.00,1766,82.37,1.93,-0.79
21-May-2024,112.99,112.99,99.76,100.73,101.344975053456878118,7015,208,710935.00,4127,58.83,13.23,-12.26
18-May-2024,105.30,105.30,102.00,102.91,102.713147410358565737,753,14,77343.00,743,98.67,3.30,-2.39
17-May-2024,101.44,105.10,100.76,103.21,103.061224489795918367,931,83,95950.00,603,64.77,4.34,1.77
16-May-2024,100.00,101.20,99.85,100.43,100.712058212058212058,962,58,96885.00,562,58.42,1.35,0.43
15-May-2024,99.92,99.92,97.00,99.10,98.877570093457943925,4280,85,423196.00,4080,95.33,2.92,-0.82
14-May-2024,99.56,100.10,99.04,99.92,99.722105263157894736,1425,45,142104.00,1265,88.77,1.06,0.36
13-May-2024,99.08,99.21,95.10,98.22,97.501930501930501930,2072,76,202024.00,1659,80.07,4.11,-0.86
10-May-2024,98.81,99.15,97.90,99.08,98.733727810650887573,338,32,33372.00,300,88.76,1.25,0.27
9-May-2024,100.89,101.00,98.50,98.59,99.319352465047829286,2718,128,269950.00,2192,80.65,2.50,-2.30
8-May-2024,98.49,102.20,97.38,101.59,101.318455674412885774,8133,199,824023.00,7522,92.49,4.82,3.10
7-May-2024,104.90,104.90,98.01,98.63,99.415494481713914737,4621,101,459399.00,3738,80.89,6.89,-6.27
6-May-2024,113.90,113.90,100.35,100.45,101.774410774410774410,3564,85,362724.00,2105,59.06,13.55,-13.45
3-May-2024,103.30,103.30,99.55,100.30,100.957955482275350370,2426,111,244924.00,1799,74.15,3.75,-3.00
2-May-2024,97.18,105.00,97.18,103.36,102.462515788691581841,13459,304,1379043.00,12408,92.19,7.82,6.18
30-April-2024,100.01,101.90,99.00,99.15,99.450865164871041462,3063,77,304618.00,2727,89.03,2.90,-0.86
29-April-2024,100.30,101.14,99.83,101.14,100.137542277339346110,887,32,88822.00,688,77.56,1.31,0.84
26-April-2024,99.94,101.00,99.70,100.18,100.245687401986408782,1913,81,191770.00,1498,78.31,1.30,0.24
25-April-2024,100.90,102.00,96.95,98.42,99.058847702802662940,12167,147,1205249.00,11035,90.70,5.05,-2.48
24-April-2024,102.00,102.20,100.88,100.88,101.442780748663101604,935,40,94849.00,692,74.01,1.32,-1.12
23-April-2024,99.36,101.83,99.36,101.08,100.966709900562040639,2313,71,233536.00,1876,81.11,2.47,1.72
22-April-2024,94.77,99.44,94.77,98.74,99.037585421412300683,878,28,86955.00,832,94.76,4.67,3.97
19-April-2024,99.60,100.80,95.90,96.70,99.492829204693611473,767,56,76311.00,519,67.67,4.90,-2.90
18-April-2024,101.28,102.80,99.60,100.22,101.299005453962143086,3117,110,315749.00,2706,86.81,3.20,-1.06
16-April-2024,98.12,101.05,97.10,99.30,98.989158492514197212,1937,78,191742.00,1526,78.78,3.95,1.18
15-April-2024,102.00,102.00,98.20,99.39,99.665768920010772959,3713,135,370059.00,1998,53.81,3.80,-2.61
12-April-2024,101.56,102.15,101.10,102.03,101.508276533592989289,1027,59,104249.00,943,91.82,1.05,0.47
10-April-2024,99.01,104.40,99.01,103.30,103.330935251798561151,139,17,14363.00,78,56.12,5.39,4.29
9-April-2024,105.70,105.70,100.85,100.95,102.697054698457223001,713,36,73223.00,680,95.37,4.85,-4.75
8-April-2024,103.00,104.97,101.66,103.76,103.571428571428571428,3556,186,368300.00,2257,63.47,3.31,0.76
5-April-2024,102.59,104.90,100.50,103.46,103.357070193285859613,2949,111,304800.00,2679,90.84,4.40,0.87
4-April-2024,101.86,103.00,101.86,102.94,102.418848167539267015,955,61,97810.00,851,89.11,1.14,1.08
3-April-2024,97.66,101.04,97.66,99.93,100.102236421725239616,626,36,62664.00,476,76.04,3.38,2.27
