Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,290.95,304.95,288.55,292.60,296.579438421894437533,33762,1581,10013115.00,15294,45.30,16.40,1.65
27-June-2024,285.55,295.75,283.95,286.70,289.488659066870372546,8509,677,2463259.00,3995,46.95,11.80,1.15
26-June-2024,297.00,297.00,285.00,285.75,288.576935032639104755,16085,1013,4641760.00,9509,59.12,12.00,-11.25
25-June-2024,306.00,306.00,290.00,292.10,297.888028019528762470,18844,1051,5613402.00,11407,60.53,16.00,-13.90
24-June-2024,271.00,308.60,271.00,303.50,296.518353920404043760,120383,6019,35695769.00,46237,38.41,37.60,32.50
21-June-2024,280.00,280.00,266.75,270.00,273.637931034482758620,6090,477,1666455.00,2496,40.99,13.25,-10.00
20-June-2024,267.00,284.90,263.60,273.25,276.355459057071960297,16120,999,4454850.00,4136,25.66,21.30,6.25
19-June-2024,259.95,264.30,258.75,262.60,262.190615583297460180,11615,418,3045344.00,7621,65.61,5.55,2.65
18-June-2024,260.65,263.15,259.60,260.70,261.079987452948557089,6376,297,1664646.00,4218,66.15,3.55,0.05
14-June-2024,260.50,265.95,259.00,260.65,262.344546532305868405,6748,386,1770301.00,3240,48.01,6.95,0.15
13-June-2024,263.80,266.35,258.00,260.30,261.690981312629773404,11077,465,2898751.00,7583,68.46,8.35,-3.50
12-June-2024,258.00,266.65,258.00,261.65,262.470390309555854643,8916,524,2340186.00,5274,59.15,8.65,3.65
11-June-2024,263.20,263.20,258.10,261.90,261.302502720348204570,4595,253,1200685.00,1462,31.82,5.10,-1.30
10-June-2024,263.20,264.55,259.10,261.65,262.025232251404977635,8719,687,2284598.00,5371,61.60,5.45,-1.55
7-June-2024,255.00,261.20,254.95,258.00,257.726310726310726310,12474,712,3214878.00,7927,63.55,6.25,3.00
6-June-2024,244.50,254.95,244.50,254.20,250.532870438764957896,6769,584,1695857.00,3338,49.31,10.45,9.70
5-June-2024,240.00,244.05,234.00,242.25,239.851095867492052869,5977,503,1433590.00,3198,53.51,10.05,2.25
4-June-2024,253.15,253.15,235.20,237.95,246.159302777238298698,20596,864,5069897.00,14675,71.25,17.95,-15.20
3-June-2024,260.00,266.75,248.30,251.50,254.523461195361284567,44840,2166,11412832.00,24564,54.78,18.45,-8.50
31-May-2024,260.90,262.95,250.20,255.25,257.197209940539716420,13118,1247,3373913.00,8661,66.02,12.75,-5.65
30-May-2024,266.45,269.20,256.00,257.15,260.799239501818582607,18146,1280,4732463.00,10638,58.62,13.20,-9.30
29-May-2024,287.55,290.00,265.10,270.05,277.581496440306681270,29216,1505,8109821.00,19936,68.24,24.90,-17.50
28-May-2024,293.95,296.00,280.15,286.30,288.410222515972681207,13617,861,3927282.00,5687,41.76,15.85,-7.65
27-May-2024,271.25,297.25,271.25,290.30,287.552896305125148986,20975,1699,6031422.00,8151,38.86,26.00,19.05
24-May-2024,267.70,278.35,264.80,269.60,270.837140314446751705,6742,437,1825984.00,3425,50.80,13.55,1.90
23-May-2024,263.35,267.95,260.20,264.45,263.641211738718838750,6338,439,1670958.00,3903,61.58,7.75,1.10
22-May-2024,261.05,266.55,260.00,263.35,262.951213532728609953,4079,261,1072578.00,2813,68.96,6.55,2.30
21-May-2024,265.75,265.75,253.80,262.20,257.829577549426116218,16641,1031,4290542.00,10097,60.68,11.95,-3.55
18-May-2024,259.80,263.95,259.00,261.80,261.662044374009508716,2524,95,660435.00,2278,90.25,4.95,2.00
17-May-2024,251.95,256.40,248.85,255.90,253.729742962056303549,4085,324,1036486.00,3173,77.67,7.55,3.95
16-May-2024,247.00,252.70,247.00,250.10,249.821539194662854419,4197,492,1048501.00,2067,49.25,5.70,3.10
15-May-2024,254.30,255.65,246.10,248.30,251.221666176037680306,3397,479,853400.00,2573,75.74,9.55,-6.00
14-May-2024,247.90,253.60,247.15,252.15,250.192518964164268898,3823,521,956486.00,2808,73.45,6.45,4.25
13-May-2024,250.95,251.00,242.05,244.25,246.117002474372569812,8487,438,2088795.00,4817,56.76,8.95,-6.70
10-May-2024,244.65,251.65,242.10,251.50,246.669938650306748466,3260,212,804144.00,1891,58.01,9.55,6.85
9-May-2024,251.10,251.10,242.25,243.55,247.460776439089692101,3735,312,924266.00,2512,67.26,8.85,-7.55
8-May-2024,248.05,255.45,247.65,249.90,250.584976340694006309,10144,465,2541934.00,6613,65.19,7.80,1.85
7-May-2024,255.00,255.25,248.00,250.10,251.411840411840411840,8547,579,2148817.00,5144,60.18,7.25,-4.90
6-May-2024,265.20,267.15,251.95,254.45,256.465707027942421676,20077,991,5149062.00,11532,57.44,15.20,-10.75
3-May-2024,271.00,272.00,263.50,265.10,265.941789748045178105,4604,188,1224396.00,3512,76.28,8.50,-5.90
2-May-2024,281.95,281.95,265.75,268.80,270.494078269824922760,3884,225,1050599.00,1144,29.45,16.20,-13.15
30-April-2024,279.95,279.95,266.80,268.65,271.361501512186443693,16863,736,4575969.00,11633,68.99,13.15,-11.30
29-April-2024,267.00,278.70,267.00,274.20,273.556165751372940589,8012,429,2191732.00,3278,40.91,11.70,7.20
26-April-2024,264.75,266.00,261.20,264.80,263.303159389421370252,5634,241,1483450.00,3309,58.73,4.80,0.05
25-April-2024,262.75,264.45,260.75,262.35,261.997170145030067209,2827,129,740666.00,1706,60.35,3.70,-0.40
24-April-2024,259.95,268.35,258.80,261.40,263.974005305039787798,7540,500,1990364.00,2953,39.16,9.55,1.45
23-April-2024,275.70,275.70,255.75,256.55,259.425205014610236591,21218,1134,5504484.00,13567,63.94,19.95,-19.15
22-April-2024,249.00,272.40,248.45,262.15,265.279872331936963893,30078,2113,7979088.00,16769,55.75,23.95,13.15
19-April-2024,245.00,248.05,242.90,244.40,245.292251241096481761,4633,280,1136439.00,2892,62.42,5.15,-0.60
18-April-2024,253.95,257.40,244.10,247.50,251.853538559187559504,6302,533,1587181.00,3340,53.00,13.30,-6.45
16-April-2024,255.05,258.80,247.95,251.90,252.970895455762878314,11201,665,2833527.00,4085,36.47,10.85,-3.15
15-April-2024,243.35,260.50,243.35,253.95,253.226549175667993177,7036,304,1781702.00,2975,42.28,17.15,10.60
12-April-2024,261.10,269.00,261.00,263.80,265.850378400490897934,9778,236,2599485.00,5898,60.32,8.00,2.70
10-April-2024,259.50,261.85,257.00,260.10,259.680327868852459016,1830,100,475215.00,1574,86.01,4.85,0.60
9-April-2024,261.05,262.05,254.05,256.70,258.382642052265643730,8342,340,2155428.00,6229,74.67,8.00,-4.35
8-April-2024,261.70,270.00,260.25,261.75,265.503693065244152646,9748,571,2588130.00,6415,65.81,9.75,0.05
5-April-2024,264.50,265.00,256.20,259.25,260.082738944365192582,4206,162,1093908.00,2113,50.24,8.80,-5.25
4-April-2024,259.80,262.40,256.55,260.45,259.134948096885813148,6069,354,1572690.00,3072,50.62,5.85,0.65
3-April-2024,261.65,264.25,253.45,255.15,257.608513341804320203,7870,404,2027379.00,5036,63.99,10.80,-6.50
2-April-2024,255.05,262.80,255.05,261.65,260.063888888888888888,7200,350,1872460.00,5186,72.03,7.75,6.60
1-April-2024,241.90,257.55,241.90,255.05,251.724527310924369747,3808,223,958567.00,2245,58.95,15.65,13.15
28-March-2024,234.05,252.00,234.05,241.70,245.625341895588060411,16818,674,4130927.00,9231,54.89,17.95,7.65
27-March-2024,244.10,246.15,238.15,238.80,241.578172875342686663,24804,705,5992105.00,9310,37.53,8.00,-5.30
26-March-2024,249.20,250.00,240.00,242.90,244.851147174034695019,10722,350,2625294.00,8296,77.37,10.00,-6.30
22-March-2024,236.00,247.30,234.30,244.35,241.311953125000000000,12800,644,3088793.00,5926,46.30,13.00,8.35
21-March-2024,235.00,238.35,235.00,236.00,237.061818181818181818,2750,180,651920.00,2368,86.11,3.35,1.00
20-March-2024,235.85,237.50,229.40,233.90,232.586155484558040468,4695,183,1091992.00,3228,68.75,8.10,-1.95
19-March-2024,246.10,246.10,231.50,233.00,236.988625347379305887,15473,745,3666925.00,10108,65.33,14.60,-13.10
18-March-2024,234.05,243.70,234.05,242.45,240.527230590961761297,7767,388,1868175.00,3800,48.92,9.65,8.40
15-March-2024,235.05,244.30,228.25,238.80,234.597658522396742292,13752,482,3226187.00,9547,69.42,16.05,3.75
14-March-2024,230.05,243.35,227.25,241.80,238.646686600375495445,14381,878,3431978.00,5650,39.29,16.10,11.75
13-March-2024,249.00,253.10,230.10,233.25,239.115461792938879548,18439,679,4409050.00,13974,75.78,23.00,-15.75
12-March-2024,253.45,253.45,247.10,248.60,250.181614767853813164,5363,241,1341724.00,2433,45.37,6.35,-4.85
11-March-2024,258.05,262.35,252.00,254.80,258.564538514920194309,14410,489,3725915.00,6375,44.24,10.35,-3.25
7-March-2024,260.00,264.15,258.00,259.00,260.424881618596642272,6969,383,1814901.00,3826,54.90,6.15,-1.00
6-March-2024,268.25,269.90,252.70,258.40,258.135855875588654035,18262,833,4714077.00,11238,61.54,17.20,-9.85
5-March-2024,275.00,275.00,268.00,269.50,271.537477148080438756,1094,75,297062.00,528,48.26,7.00,-5.50
4-March-2024,279.75,281.55,271.60,272.45,275.181506196377502383,5245,293,1443327.00,3087,58.86,9.95,-7.30
2-March-2024,283.55,283.55,269.70,279.55,273.793169925640319471,3631,172,994143.00,2748,75.68,13.85,-4.00
1-March-2024,285.00,285.00,276.70,280.00,280.260564431835150067,6697,339,1876905.00,3568,53.28,8.30,-5.00
29-February-2024,284.95,284.95,269.60,278.60,274.484246211114065408,15044,976,4129341.00,5379,35.76,15.35,-6.35
28-February-2024,277.15,284.45,270.35,274.20,275.863412896330602066,28070,1034,7743486.00,17230,61.38,14.10,-2.95
27-February-2024,286.30,290.05,279.70,281.35,283.780818053596614950,10635,601,3018009.00,5340,50.21,10.35,-4.95
26-February-2024,295.25,296.40,283.05,286.30,289.429551638471548562,16906,968,4893096.00,9091,53.77,13.35,-8.95
23-February-2024,297.05,299.05,290.60,293.40,296.100796812749003984,7530,375,2229639.00,2519,33.45,8.45,-3.65
22-February-2024,294.55,302.95,292.00,296.55,297.387020582611629737,26673,1261,7932204.00,8352,31.31,10.95,2.00
21-February-2024,303.35,306.15,295.00,297.85,300.482986143840135733,31827,1157,9563472.00,11961,37.58,11.15,-5.50
20-February-2024,307.05,316.65,301.05,301.80,307.581839092477390349,19129,883,5883733.00,7155,37.40,15.60,-5.25
19-February-2024,290.00,322.00,287.15,305.10,308.537963926928450032,112383,3547,34674422.00,47657,42.41,34.85,15.10
16-February-2024,297.05,301.80,285.15,286.30,294.060843874065183270,43324,1371,12739892.00,26305,60.72,16.65,-10.75
15-February-2024,299.90,302.30,293.10,296.10,297.139718735102494835,25172,748,7479601.00,13159,52.28,9.20,-3.80
14-February-2024,284.95,309.40,275.35,298.45,298.993849314712231151,76902,2326,22993225.00,27169,35.33,34.05,13.50
13-February-2024,276.45,276.45,247.70,262.65,261.069107763615295480,21575,933,5632566.00,7931,36.76,28.75,-13.80
12-February-2024,289.85,297.00,268.75,270.05,281.729313189198576018,23034,1036,6489353.00,11154,48.42,28.25,-19.80
9-February-2024,278.00,288.80,265.85,284.70,278.746763055675442382,18536,1063,5166850.00,10473,56.50,22.95,6.70
8-February-2024,272.15,277.50,266.10,268.60,269.971887966804979253,9640,461,2602529.00,7569,78.52,11.40,-3.55
7-February-2024,266.00,280.65,264.60,269.50,270.130077195007575211,13861,364,3744273.00,9771,70.49,16.05,3.50
6-February-2024,249.10,272.90,249.10,267.00,269.083316190084344785,4861,192,1308014.00,2527,51.99,23.80,17.90
5-February-2024,270.05,280.00,261.30,264.00,268.040122346167686218,22232,731,5959068.00,13451,60.50,18.70,-6.05
2-February-2024,271.25,280.00,268.90,272.15,273.638479048984065424,23722,881,6491252.00,13536,57.06,11.10,0.90
1-February-2024,281.25,282.25,264.50,267.50,273.227481438061742868,20472,769,5593513.00,11831,57.79,17.75,-13.75
31-January-2024,277.95,294.55,271.90,281.25,285.340213523131672597,88515,2649,25256889.00,52530,59.35,22.65,3.30
