Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,530.00,530.00,517.20,519.30,521.276313492756152906,5729,129,2986392.00,5729,100.00,12.80,-10.70
27-June-2024,530.00,530.00,516.20,523.85,525.384288272157564905,8936,200,4694834.00,8936,100.00,13.80,-6.15
26-June-2024,520.00,533.00,515.20,526.40,522.532365747460087082,10335,198,5400372.00,10335,100.00,17.80,6.40
25-June-2024,513.95,526.80,510.00,520.35,519.696421281807048578,7349,222,3819249.00,7349,100.00,16.80,6.40
24-June-2024,514.95,519.80,500.05,511.45,512.831721470019342359,7755,172,3977010.00,7755,100.00,19.75,-3.50
21-June-2024,517.00,524.90,507.05,511.90,512.419843924191750278,4485,165,2298203.00,4485,100.00,17.85,-5.10
20-June-2024,511.00,522.00,507.00,511.10,512.718034993270524899,7430,169,3809495.00,7430,100.00,15.00,0.10
19-June-2024,549.00,549.00,511.55,512.40,520.639686286453970912,13133,272,6837561.00,13133,100.00,37.45,-36.60
18-June-2024,533.00,533.00,515.80,527.90,523.710989745876058849,8972,289,4698735.00,8972,100.00,17.20,-5.10
14-June-2024,522.00,538.00,518.00,533.15,532.663029100529100529,15120,408,8053865.00,15120,100.00,20.00,11.15
13-June-2024,507.00,514.90,506.00,513.30,509.451612903225806451,2666,150,1358198.00,2666,100.00,8.90,6.30
12-June-2024,518.80,518.80,502.20,507.00,510.693504876530400498,4819,181,2461032.00,4819,100.00,16.60,-11.80
11-June-2024,520.00,520.00,504.25,510.30,513.193112327003540392,3107,164,1594491.00,3107,100.00,15.75,-9.70
10-June-2024,521.00,530.00,502.00,518.10,521.249264509227066060,11217,261,5846853.00,11217,100.00,28.00,-2.90
7-June-2024,515.30,521.00,502.00,508.05,507.515496688741721854,7550,245,3831742.00,7550,100.00,19.00,-7.25
6-June-2024,501.90,526.60,491.05,521.55,512.415016283777836458,11361,225,5821547.00,11361,100.00,35.55,19.65
5-June-2024,476.25,502.00,462.00,501.55,491.863111704664695220,10483,189,5156201.00,10483,100.00,40.00,25.30
4-June-2024,505.00,505.00,480.00,485.65,491.813480997530077284,37653,367,18518253.00,37653,100.00,25.00,-19.35
3-June-2024,512.80,512.80,478.00,504.05,491.121539752073818622,21458,376,10538486.00,21458,100.00,34.80,-8.75
31-May-2024,507.00,508.00,500.00,503.05,502.030288461538461538,6240,156,3132669.00,6240,100.00,8.00,-3.95
30-May-2024,499.95,504.95,499.95,500.55,500.249066340734704963,14727,193,7367168.00,14727,100.00,5.00,0.60
29-May-2024,523.00,525.00,496.85,501.30,501.772038912847257045,19942,527,10006338.00,19942,100.00,28.15,-21.70
