Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,159.70,159.70,150.70,155.75,155.454545454545454545,176,19,27360.00,68,38.64,9.00,-3.95
27-June-2024,158.85,158.95,150.45,157.55,157.968908629441624365,1576,26,248959.00,1353,85.85,8.50,-1.30
26-June-2024,153.70,155.70,153.70,155.70,154.530120481927710843,83,4,12826.00,83,100.00,2.00,2.00
25-June-2024,150.05,153.90,150.00,150.00,152.385892116182572614,241,15,36725.00,159,65.98,3.90,-0.05
24-June-2024,156.00,156.00,150.00,151.00,154.071428571428571428,14,6,2157.00,13,92.86,6.00,-5.00
21-June-2024,154.10,156.95,153.50,155.90,154.597122302158273381,139,3,21489.00,112,80.58,3.45,1.80
20-June-2024,153.95,155.60,150.40,154.10,154.008196721311475409,122,5,18789.00,111,90.98,5.20,0.15
19-June-2024,154.00,155.75,150.25,152.00,151.593198992443324937,794,37,120365.00,713,89.80,5.50,-2.00
18-June-2024,159.95,159.95,154.05,159.80,158.469387755102040816,490,12,77650.00,249,50.82,5.90,-0.15
14-June-2024,152.85,159.95,148.40,157.45,154.056030389363722697,2106,47,324442.00,1570,74.55,11.55,4.60
13-June-2024,162.00,162.00,146.00,152.75,147.961123110151187904,1389,33,205518.00,1101,79.27,16.00,-9.25
12-June-2024,146.00,147.30,145.50,147.30,146.152866242038216560,157,8,22946.00,147,93.63,1.80,1.30
11-June-2024,152.00,163.00,145.10,145.20,147.427170868347338935,1428,40,210526.00,1304,91.32,17.90,-6.80
10-June-2024,152.00,152.00,148.00,152.00,151.813333333333333333,150,8,22772.00,143,95.33,4.00,0.00
7-June-2024,145.70,159.70,145.70,155.60,146.875675675675675675,185,8,27172.00,164,88.65,14.00,9.90
6-June-2024,139.00,145.30,139.00,145.30,144.165891472868217054,645,14,92987.00,510,79.07,6.30,6.30
5-June-2024,137.90,138.65,137.90,138.40,138.032258064516129032,124,5,17116.00,124,100.00,0.75,0.50
4-June-2024,145.95,146.45,137.35,137.85,145.445531637312459230,1533,26,222968.00,1397,91.13,9.10,-8.10
3-June-2024,144.10,150.00,138.40,140.25,143.035654596100278551,1795,36,256749.00,1137,63.34,11.60,-3.85
31-May-2024,149.40,149.40,140.45,143.35,144.915322580645161290,496,25,71878.00,371,74.80,8.95,-6.05
30-May-2024,142.10,149.75,140.10,144.00,143.439252336448598130,107,14,15348.00,55,51.40,9.65,1.90
29-May-2024,149.70,149.70,141.00,144.55,146.458167330677290836,251,21,36761.00,245,97.61,8.70,-5.15
28-May-2024,143.00,150.90,143.00,143.55,143.981158408932309839,1433,57,206325.00,1115,77.81,7.90,0.55
27-May-2024,156.15,156.15,148.20,148.35,148.463846813375250071,3499,50,519475.00,3054,87.28,7.95,-7.80
24-May-2024,158.00,158.75,156.00,156.00,156.644461266717133484,3963,40,620782.00,3962,99.97,2.75,-2.00
23-May-2024,170.00,171.45,162.95,164.20,165.030465949820788530,558,51,92087.00,311,55.73,8.50,-5.80
22-May-2024,167.20,171.80,158.85,171.50,160.784503631961259079,413,18,66404.00,356,86.20,12.95,4.30
21-May-2024,170.55,170.60,167.20,167.20,168.116352201257861635,636,34,106922.00,634,99.69,3.40,-3.35
18-May-2024,175.40,176.00,174.00,176.00,174.158536585365853658,82,5,14281.00,81,98.78,2.00,0.60
17-May-2024,168.75,168.75,162.10,168.40,164.924342105263157894,304,19,50137.00,218,71.71,6.65,-0.35
16-May-2024,169.95,170.90,161.05,161.65,162.952158693115519253,857,43,139650.00,481,56.13,9.85,-8.30
15-May-2024,162.00,168.75,160.00,168.70,163.220178041543026706,1685,33,275026.00,1233,73.18,8.75,6.70
14-May-2024,164.30,167.45,158.10,161.15,160.776403425309229305,2102,60,337952.00,1665,79.21,9.35,-3.15
13-May-2024,173.00,175.40,163.00,164.25,167.597349643221202854,1962,51,328826.00,1408,71.76,12.40,-8.75
10-May-2024,180.00,184.75,171.05,178.95,176.885448916408668730,323,35,57134.00,242,74.92,13.70,-1.05
9-May-2024,192.20,192.20,175.20,180.40,183.080322828593389700,2602,56,476375.00,2102,80.78,17.00,-11.80
8-May-2024,207.95,207.95,187.70,192.20,194.808650065530799475,763,46,148639.00,571,74.84,20.25,-15.75
7-May-2024,214.00,214.00,192.00,198.40,204.123120300751879699,1064,48,217187.00,765,71.90,22.00,-15.60
6-May-2024,214.80,214.80,186.20,200.60,199.755216175521617552,4649,118,928662.00,3385,72.81,28.60,-14.20
3-May-2024,197.00,209.85,193.60,203.70,199.595354523227383863,8180,167,1632690.00,4700,57.46,16.25,6.70
2-May-2024,235.00,244.00,208.00,208.00,220.730519174597192122,10613,222,2342613.00,7948,74.89,36.00,-27.00
30-April-2024,219.00,231.10,202.20,231.10,224.260088703936921644,18263,144,4095662.00,14359,78.62,28.90,12.10
29-April-2024,161.00,192.60,160.95,192.60,182.634076567101388304,11885,94,2170606.00,6641,55.88,31.65,31.60
26-April-2024,148.10,162.00,146.80,160.50,156.829538461538461538,1625,15,254848.00,1436,88.37,15.20,12.40
25-April-2024,145.80,145.80,145.80,145.80,145.800000000000000000,250,2,36450.00,250,100.00,0.00,0.00
24-April-2024,145.80,145.80,145.80,145.80,145.800000000000000000,5,1,729.00,5,100.00,0.00,0.00
23-April-2024,146.30,146.30,145.80,145.80,145.870000000000000000,100,3,14587.00,100,100.00,0.50,-0.50
22-April-2024,159.00,159.00,145.50,146.30,151.652996845425867507,317,17,48074.00,259,81.70,13.50,-12.70
19-April-2024,140.50,150.85,140.50,143.50,144.900000000000000000,150,9,21735.00,75,50.00,10.35,3.00
18-April-2024,151.60,155.00,151.60,151.60,151.795389048991354466,347,7,52673.00,327,94.24,3.40,0.00
