Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-April-2018,4.05,4.05,4.05,4.05,4.040816326530612244,49,1,198.00,49,100.00,0.00,0.00
16-April-2018,4.05,4.05,4.05,4.05,4.050000000000000000,400,2,1620.00,400,100.00,0.00,0.00
12-March-2018,4.11,4.11,4.11,4.11,4.109973045822102425,35245,18,144856.00,35245,100.00,0.00,0.00
5-March-2018,4.31,4.32,4.31,4.32,4.314632297194844579,1319,4,5691.00,1319,100.00,0.01,0.01
26-February-2018,4.90,4.91,4.53,4.53,4.663566921288608435,3011,16,14042.00,3011,100.00,0.38,-0.37
19-February-2018,4.76,4.77,4.76,4.76,4.768561812473176571,44271,8,211109.00,44271,100.00,0.01,0.00
12-February-2018,5.01,5.01,5.01,5.01,5.010000000000000000,500,4,2505.00,500,100.00,0.00,0.00
5-February-2018,5.30,5.30,5.19,5.19,5.190476190476190476,714,3,3706.00,714,100.00,0.11,-0.11
29-January-2018,5.05,5.05,5.05,5.05,5.049841269841269841,3150,1,15907.00,3150,100.00,0.00,0.00
22-January-2018,4.92,4.92,4.92,4.92,4.919942473633748801,2086,14,10263.00,2086,100.00,0.00,0.00
15-January-2018,4.69,4.69,4.69,4.69,4.689667761956918583,2739,11,12845.00,2739,100.00,0.00,0.00
8-January-2018,4.26,4.47,4.26,4.47,4.436573093220338983,7552,10,33505.00,7552,100.00,0.21,0.21
1-January-2018,3.90,4.26,3.90,4.26,4.250060753341433778,4115,4,17489.00,4115,100.00,0.36,0.36
26-December-2017,3.87,4.06,3.87,4.06,3.884506376948512045,4234,3,16447.00,4234,100.00,0.19,0.19
18-December-2017,4.00,4.00,3.87,3.87,3.927956147220046985,1277,7,5016.00,1277,100.00,0.13,-0.13
11-December-2017,4.07,4.07,4.07,4.07,4.000000000000000000,1,1,4.00,1,100.00,0.00,0.00
4-December-2017,4.28,4.28,4.28,4.28,4.280000000000000000,200,2,856.00,200,100.00,0.00,0.00
27-November-2017,4.28,4.72,4.28,4.50,4.589803638983966852,5551,13,25478.00,5551,100.00,0.44,0.22
20-November-2017,4.57,4.79,4.50,4.50,4.528750000000000000,1600,4,7246.00,1600,100.00,0.29,-0.07
13-November-2017,4.90,4.90,4.57,4.57,4.734765234765234765,2002,7,9479.00,2002,100.00,0.33,-0.33
6-November-2017,4.81,4.81,4.81,4.81,4.807692307692307692,52,4,250.00,52,100.00,0.00,0.00
17-October-2017,5.55,5.55,5.06,5.06,5.142236699239956568,921,9,4736.00,921,100.00,0.49,-0.49
16-October-2017,5.32,5.32,5.32,5.32,5.318741450068399452,731,7,3888.00,731,100.00,0.00,0.00
13-October-2017,5.20,5.59,5.20,5.59,5.298750000000000000,800,9,4239.00,800,100.00,0.39,0.39
12-October-2017,5.47,5.47,5.47,5.47,5.468144044321329639,361,4,1974.00,361,100.00,0.00,0.00
11-October-2017,5.50,5.75,5.50,5.75,5.497512437810945273,201,3,1105.00,201,100.00,0.25,0.25
10-October-2017,5.59,5.65,5.59,5.59,5.585365853658536585,82,2,458.00,82,100.00,0.06,0.00
9-October-2017,5.16,5.59,5.16,5.59,5.187759952465834818,5049,14,26193.00,5049,100.00,0.43,0.43
6-October-2017,5.43,5.43,5.43,5.43,5.429971988795518207,714,4,3877.00,714,100.00,0.00,0.00
5-October-2017,5.71,5.71,5.71,5.71,5.709408825978351373,1201,4,6857.00,1201,100.00,0.00,0.00
