Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-August-2019,0.47,0.47,0.47,0.47,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
5-August-2019,0.47,0.47,0.47,0.47,0.469181232750689972,1087,5,510.00,1087,100.00,0.00,0.00
29-July-2019,0.47,0.47,0.47,0.47,0.469921104536489151,2028,4,953.00,2028,100.00,0.00,0.00
22-July-2019,0.47,0.47,0.47,0.47,0.468379446640316205,506,3,237.00,506,100.00,0.00,0.00
15-July-2019,0.49,0.49,0.47,0.47,0.488372093023255813,559,10,273.00,559,100.00,0.02,-0.02
8-July-2019,0.49,0.49,0.49,0.49,0.489795918367346938,98,4,48.00,98,100.00,0.00,0.00
1-July-2019,0.51,0.51,0.51,0.51,0.509915783754414561,3681,14,1877.00,3681,100.00,0.00,0.00
10-June-2019,0.51,0.51,0.49,0.49,0.490313206328705198,12388,14,6074.00,12388,100.00,0.02,-0.02
3-June-2019,0.51,0.51,0.51,0.51,0.509922346850733390,8113,6,4137.00,8113,100.00,0.00,0.00
27-May-2019,0.55,0.55,0.53,0.53,0.529860228716645489,1574,6,834.00,1574,100.00,0.02,-0.02
20-May-2019,0.55,0.56,0.55,0.55,0.550812831435277753,11503,18,6336.00,11503,100.00,0.01,0.00
13-May-2019,0.55,0.55,0.55,0.55,0.549952198852772466,12552,17,6903.00,12552,100.00,0.00,0.00
6-May-2019,0.55,0.55,0.55,0.55,0.548752834467120181,441,7,242.00,441,100.00,0.00,0.00
30-April-2019,0.57,0.57,0.57,0.57,0.570000000000000000,10000,10,5700.00,10000,100.00,0.00,0.00
22-April-2019,0.57,0.57,0.57,0.57,0.569903406202338586,1967,7,1121.00,1967,100.00,0.00,0.00
15-April-2019,0.57,0.57,0.57,0.57,0.569987210459002415,14074,33,8022.00,14074,100.00,0.00,0.00
8-April-2019,0.60,0.60,0.57,0.57,0.572275862068965517,7250,10,4149.00,7250,100.00,0.03,-0.03
1-April-2019,0.62,0.62,0.60,0.60,0.601809954751131221,1326,8,798.00,1326,100.00,0.02,-0.02
25-March-2019,0.62,0.62,0.62,0.62,0.619832477708727370,3701,13,2294.00,3701,100.00,0.00,0.00
18-March-2019,0.65,0.65,0.62,0.62,0.640649041824031333,7149,20,4580.00,7149,100.00,0.03,-0.03
11-March-2019,0.67,0.67,0.65,0.65,0.649887784546328951,3119,8,2027.00,3119,100.00,0.02,-0.02
5-March-2019,0.71,0.71,0.68,0.68,0.681308554753494086,6511,10,4436.00,6511,100.00,0.03,-0.03
25-February-2019,0.74,0.74,0.71,0.71,0.717764105249378190,7639,17,5483.00,7639,100.00,0.03,-0.03
18-February-2019,0.77,0.77,0.74,0.74,0.740361551512314982,34186,20,25310.00,34186,100.00,0.03,-0.03
31-January-2019,0.81,0.81,0.77,0.77,0.780760626398210290,447,7,349.00,447,100.00,0.04,-0.04
