Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,82.13,83.09,81.98,82.14,82.493116502741230888,2333988,12452,192537944.00,1076927,46.14,1.11,0.01
27-June-2024,82.71,83.73,82.00,82.20,82.938979145464182005,1205637,5664,99994302.00,415696,34.48,1.73,-0.51
26-June-2024,82.85,83.34,82.15,82.71,82.792451751378152992,2920757,14371,241816633.00,1603570,54.90,1.19,-0.14
25-June-2024,83.00,83.49,82.45,82.94,82.923712110158446742,1213089,5499,100593843.00,432721,35.67,1.04,-0.06
24-June-2024,83.43,83.70,81.70,82.92,82.897216218902908224,2444481,15318,202640670.00,568142,23.24,2.00,-0.51
21-June-2024,84.39,84.50,82.91,83.43,83.661934565215638803,4713762,19971,394362448.00,2367945,50.23,1.59,-0.96
20-June-2024,83.34,83.98,82.54,83.85,83.353657901300923522,3263374,12110,272014160.00,1204605,36.91,1.44,0.51
19-June-2024,82.00,83.47,80.31,82.16,82.336181593321413377,4299233,13713,353982429.00,1559023,36.26,3.16,0.16
18-June-2024,78.14,81.60,78.01,81.42,80.336610227042698654,8576008,32355,688967412.00,5634526,65.70,3.59,3.28
14-June-2024,77.47,78.33,77.40,78.01,77.873265811501685219,2948281,17751,229592270.00,1410223,47.83,0.93,0.54
13-June-2024,78.00,78.34,77.40,77.47,77.776949017982697125,1718096,12902,133628265.00,951371,55.37,0.94,-0.53
12-June-2024,77.55,78.42,77.27,77.83,77.808390878471433610,1034695,5606,80507953.00,368084,35.57,1.15,0.28
11-June-2024,77.58,77.89,77.15,77.50,77.606621908864676271,1763268,12137,136841273.00,1008765,57.21,0.74,-0.08
10-June-2024,78.47,78.57,77.05,77.59,77.630733419846977928,1961155,14014,152245901.00,384760,19.62,1.52,-0.88
7-June-2024,77.12,78.24,77.01,77.68,77.759464699229899294,2748212,14215,213699494.00,1444748,52.57,1.23,0.56
6-June-2024,78.16,78.30,77.05,77.28,77.535130229390560031,3496177,17056,271076539.00,1129852,32.32,1.25,-0.88
5-June-2024,74.08,78.12,71.20,77.32,74.586034958723699391,4824318,14346,359826751.00,1351970,28.02,6.92,3.24
4-June-2024,78.89,78.89,70.55,72.54,73.756227300020220636,5182824,21351,382265545.00,1754502,33.85,8.34,-6.35
3-June-2024,79.32,80.54,77.70,77.99,78.419690966387713164,9792074,33565,767891417.00,2769626,28.28,2.84,-1.33
31-May-2024,77.97,78.69,76.15,76.42,76.992264544884590115,3593583,22309,276678093.00,1366485,38.03,2.54,-1.55
30-May-2024,77.49,78.25,76.90,77.55,77.408949487148760147,1351854,5770,104645598.00,325877,24.11,1.35,0.06
29-May-2024,77.50,78.50,77.00,77.13,77.607236510983152058,2344500,16646,181950166.00,857473,36.57,1.50,-0.37
28-May-2024,79.19,79.59,77.60,78.00,78.572850344032279191,2725471,14009,214148025.00,1093789,40.13,1.99,-1.19
