Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,17.50,18.00,17.49,17.49,17.611627906976744186,860,18,15146.00,534,62.09,0.51,-0.01
27-June-2024,18.83,18.83,17.55,17.78,18.089230769230769230,6825,91,123459.00,5498,80.56,1.28,-1.05
26-June-2024,17.71,18.60,17.71,18.46,18.321100081959748656,10981,154,201184.00,9409,85.68,0.89,0.75
25-June-2024,18.89,18.89,17.62,18.11,18.108783760771090902,29361,88,531692.00,27388,93.28,1.27,-0.78
24-June-2024,17.80,19.75,16.88,18.16,18.407141625436071575,75389,322,1387696.00,61402,81.45,2.87,0.36
21-June-2024,17.04,17.40,17.04,17.40,17.344262295081967213,2196,43,38088.00,1762,80.24,0.36,0.36
20-June-2024,17.89,18.38,16.50,17.04,17.554210063997992219,47814,343,839337.00,32184,67.31,1.88,-0.85
19-June-2024,17.50,18.00,16.36,17.52,16.620558058058058058,15984,116,265663.00,11724,73.35,1.64,0.02
18-June-2024,16.10,17.28,16.00,16.74,16.256875676337872879,48977,159,796213.00,46300,94.53,1.28,0.64
14-June-2024,16.03,16.90,15.90,16.42,16.618090743820833172,51706,133,859255.00,50643,97.94,1.00,0.39
13-June-2024,15.48,16.21,15.28,15.73,15.836552100381887615,9165,73,145142.00,7975,87.02,0.93,0.25
12-June-2024,15.72,15.72,14.95,15.17,15.341554095922666997,8069,135,123791.00,5378,66.65,0.77,-0.55
11-June-2024,15.50,16.19,15.00,15.41,15.524720749857754619,33393,205,518417.00,28654,85.81,1.19,-0.09
10-June-2024,16.93,16.93,15.71,15.93,15.961155123945821620,15652,129,249824.00,7764,49.60,1.22,-1.00
7-June-2024,15.55,18.00,15.55,16.19,16.748291993037423846,91920,378,1539503.00,75009,81.60,2.45,0.64
6-June-2024,14.86,15.29,14.86,15.16,15.122670025188916876,3970,41,60037.00,3351,84.41,0.43,0.30
5-June-2024,14.90,15.01,14.90,14.99,14.980582524271844660,103,4,1543.00,51,49.51,0.11,0.09
4-June-2024,15.45,15.45,14.20,14.61,14.768457672980286045,2587,31,38206.00,1495,57.79,1.25,-0.84
3-June-2024,14.83,15.53,14.83,15.27,15.185529506871463217,7422,123,112707.00,6615,89.13,0.70,0.44
31-May-2024,15.60,15.60,14.60,14.83,14.914541094397209505,4587,92,68413.00,3142,68.50,1.00,-0.77
30-May-2024,15.59,15.59,14.76,15.10,14.970764353645649876,2839,55,42502.00,2401,84.57,0.83,-0.49
29-May-2024,14.91,15.45,14.91,15.07,15.142314990512333965,2108,41,31920.00,1617,76.71,0.54,0.16
