Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,170.00,174.55,166.00,169.10,168.474176494509963399,2459,44,414278.00,2085,84.79,8.55,-0.90
27-June-2024,179.65,179.65,170.45,170.50,170.911949685534591194,1272,24,217400.00,1121,88.13,9.20,-9.15
26-June-2024,170.95,183.50,170.00,173.45,173.589641434262948207,753,28,130713.00,691,91.77,13.50,2.50
25-June-2024,180.75,185.00,171.05,173.45,177.841905318527177089,6844,84,1217150.00,5083,74.27,13.95,-7.30
24-June-2024,188.00,188.00,179.00,180.75,183.198520915183730067,21635,115,3963500.00,13892,64.21,9.00,-7.25
21-June-2024,178.80,188.80,172.00,183.75,182.503490128665937386,38394,194,7007039.00,20637,53.75,16.80,4.95
20-June-2024,175.00,183.00,171.90,174.55,176.597079353416605437,10888,151,1922789.00,5441,49.97,11.10,-0.45
19-June-2024,171.75,179.00,166.60,176.95,175.354248778180671606,12686,138,2224544.00,8915,70.27,12.40,5.20
18-June-2024,159.40,175.00,154.00,171.75,168.120311721585652266,28102,255,4724517.00,16348,58.17,21.00,12.35
14-June-2024,152.50,159.35,150.80,156.45,155.426758620689655172,3625,54,563422.00,3023,83.39,8.55,3.95
13-June-2024,151.30,158.90,151.30,153.25,153.624338624338624338,189,10,29035.00,174,92.06,7.60,1.95
12-June-2024,153.00,156.70,152.00,152.10,152.315655983398662670,4337,52,660593.00,3403,78.46,4.70,-0.90
11-June-2024,153.95,155.00,150.00,153.00,151.810642377756471716,2086,42,316677.00,1535,73.59,5.00,-0.95
10-June-2024,152.60,156.05,145.00,153.95,152.950241080038572806,15555,122,2379141.00,12836,82.52,11.05,1.35
7-June-2024,157.00,157.00,151.70,153.25,153.924623115577889447,1791,42,275679.00,1354,75.60,5.30,-3.75
6-June-2024,157.65,158.20,155.00,157.45,155.751086956521739130,920,22,143291.00,867,94.24,3.20,-0.20
5-June-2024,157.00,158.90,147.00,155.65,150.635126377187297472,1543,27,232430.00,1328,86.07,11.90,-1.35
4-June-2024,158.00,163.85,150.00,151.30,154.357615894039735099,755,37,116540.00,653,86.49,13.85,-6.70
3-June-2024,160.75,164.95,157.05,161.50,160.903502974223397224,3026,46,486894.00,2506,82.82,7.90,0.75
31-May-2024,164.05,166.00,163.95,164.00,164.786026200873362445,687,16,113208.00,516,75.11,2.05,-0.05
30-May-2024,174.50,174.50,164.00,166.35,166.095519864750633981,1183,26,196491.00,832,70.33,10.50,-8.15
29-May-2024,165.10,170.95,165.10,167.90,167.875518672199170124,1205,24,202290.00,1048,86.97,5.85,2.80
28-May-2024,167.00,173.70,167.00,170.85,170.666139240506329113,632,18,107861.00,485,76.74,6.70,3.85
27-May-2024,176.00,176.00,169.80,170.95,171.656794218694467480,8441,79,1448955.00,7398,87.64,6.20,-5.05
24-May-2024,170.50,189.70,170.10,174.10,182.208218141126908899,60768,470,11072429.00,22945,37.76,19.60,3.60
23-May-2024,160.00,160.00,154.10,158.10,159.450963956412405699,1193,14,190225.00,1167,97.82,5.90,-1.90
22-May-2024,160.20,160.20,154.00,159.75,156.782449725776965265,547,28,85760.00,424,77.51,6.20,-0.45
21-May-2024,160.60,160.60,152.90,156.00,158.480385409497591190,1453,34,230272.00,1407,96.83,7.70,-4.60
18-May-2024,165.00,165.00,157.00,159.00,160.376425855513307984,263,6,42179.00,262,99.62,8.00,-6.00
17-May-2024,158.95,159.85,152.70,157.65,156.365553602811950790,569,31,88972.00,507,89.10,7.15,-1.30
16-May-2024,155.00,159.70,155.00,158.95,155.576119402985074626,335,21,52118.00,330,98.51,4.70,3.95
15-May-2024,149.00,164.00,149.00,159.70,159.946236559139784946,93,7,14875.00,89,95.70,15.00,10.70
14-May-2024,159.00,159.00,158.00,158.00,158.022222222222222222,45,4,7111.00,45,100.00,1.00,-1.00
13-May-2024,152.25,159.95,152.00,159.65,155.911404958677685950,3025,26,471632.00,2487,82.21,7.95,7.40
10-May-2024,166.90,166.90,160.00,160.00,160.027237354085603112,514,7,82254.00,513,99.81,6.90,-6.90
9-May-2024,161.00,161.00,152.30,157.95,158.236507936507936507,1260,12,199378.00,1250,99.21,8.70,-3.05
8-May-2024,162.00,162.00,157.15,161.00,158.938775510204081632,49,6,7788.00,49,100.00,4.85,-1.00
