Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,46.75,46.75,40.12,41.75,41.399579390115667718,3804,46,157484.00,2241,58.91,6.63,-5.00
27-June-2024,44.89,44.89,40.76,43.40,43.250000000000000000,4,4,173.00,3,75.00,4.13,-1.49
26-June-2024,40.00,44.00,40.00,42.85,42.527838033261026753,1383,18,58816.00,1029,74.40,4.00,2.85
25-June-2024,42.34,42.90,42.00,42.84,42.399274047186932849,551,13,23362.00,301,54.63,0.90,0.50
24-June-2024,41.60,47.00,41.60,42.34,43.782874617737003058,5232,53,229072.00,4779,91.34,5.40,0.74
21-June-2024,42.00,42.05,41.50,41.64,41.633333333333333333,1470,27,61201.00,1250,85.03,0.55,-0.36
20-June-2024,42.30,42.99,42.00,42.00,42.285714285714285714,357,12,15096.00,305,85.43,0.99,-0.30
19-June-2024,46.00,46.00,41.00,42.30,42.817013129102844638,3656,35,156539.00,2874,78.61,5.00,-3.70
18-June-2024,42.99,42.99,41.00,42.23,41.474634896233666410,2602,29,107917.00,2452,94.24,1.99,-0.76
14-June-2024,43.19,43.19,41.11,43.19,42.875000000000000000,8,3,343.00,4,50.00,2.08,0.00
13-June-2024,43.31,43.45,43.00,43.20,43.058470764617691154,667,10,28720.00,667,100.00,0.45,-0.11
12-June-2024,42.45,43.00,42.45,42.55,42.528415961305925030,827,14,35171.00,827,100.00,0.55,0.10
11-June-2024,41.45,44.60,41.45,42.39,42.679462102689486552,4090,29,174559.00,3170,77.51,3.15,0.94
10-June-2024,40.20,41.99,40.06,41.45,40.937776620671700078,3841,33,157242.00,3527,91.82,1.93,1.25
7-June-2024,44.99,44.99,38.69,41.49,40.849278663629460895,7902,81,322791.00,4455,56.38,6.30,-3.50
6-June-2024,40.25,42.44,39.50,41.98,40.732069672131147540,3904,38,159018.00,2369,60.68,2.94,1.73
5-June-2024,39.00,39.14,38.00,39.05,38.409015942825728422,1819,25,69866.00,1218,66.96,1.14,0.05
