Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-June-2024,2.29,2.36,2.23,2.35,2.318454812840991673,4425328,1100,10259923.00,4425328,100.00,0.13,0.06
27-June-2024,2.28,2.29,2.20,2.25,2.243231722377971810,1757094,1235,3941569.00,1757094,100.00,0.09,-0.03
26-June-2024,2.31,2.31,2.21,2.25,2.263765125842130498,1968816,1130,4456937.00,1968816,100.00,0.10,-0.06
25-June-2024,2.30,2.36,2.26,2.28,2.288914498005531569,2191060,1074,5015149.00,2191060,100.00,0.10,-0.02
24-June-2024,2.34,2.38,2.29,2.31,2.317626640873743476,2437878,1184,5650091.00,2437878,100.00,0.09,-0.03
21-June-2024,2.30,2.40,2.27,2.36,2.337728660737963393,3046872,1108,7122760.00,3046872,100.00,0.13,0.06
20-June-2024,2.36,2.37,2.27,2.35,2.329858006196568255,1684158,1087,3923849.00,1684158,100.00,0.10,-0.01
19-June-2024,2.37,2.38,2.27,2.35,2.316280135557243990,2155842,1057,4993534.00,2155842,100.00,0.11,-0.02
18-June-2024,2.32,2.45,2.25,2.37,2.330535829567462879,2532615,1300,5902350.00,2532615,100.00,0.20,0.05
14-June-2024,2.29,2.39,2.24,2.34,2.307175440606738163,3229070,1328,7450031.00,3229070,100.00,0.15,0.05
13-June-2024,2.29,2.33,2.22,2.29,2.300314068514387674,3692188,943,8493192.00,3692188,100.00,0.11,0.00
12-June-2024,2.30,2.34,2.27,2.28,2.298390543738413407,1186177,1128,2726298.00,1186177,100.00,0.07,-0.02
11-June-2024,2.37,2.37,2.26,2.29,2.296781085909125143,6837865,1126,15705079.00,6837865,100.00,0.11,-0.08
10-June-2024,2.36,2.40,2.25,2.34,2.287555231178360107,6598628,1177,15094726.00,6598628,100.00,0.15,-0.02
7-June-2024,2.29,2.35,2.26,2.30,2.312246293336668900,1183207,1021,2735866.00,1183207,100.00,0.09,0.01
6-June-2024,2.28,2.30,2.20,2.26,2.250456693242432473,1340068,1228,3015765.00,1340068,100.00,0.10,-0.02
5-June-2024,2.21,2.32,2.21,2.22,2.245902416695328464,1581664,1577,3552263.00,1581664,100.00,0.11,0.01
4-June-2024,2.45,2.45,2.32,2.32,2.346876726563987783,2126695,1584,4991091.00,2126695,100.00,0.13,-0.13
3-June-2024,2.37,2.48,2.35,2.44,2.410065810254746619,3748352,1693,9033775.00,3748352,100.00,0.13,0.07
31-May-2024,2.37,2.44,2.28,2.37,2.379804717316280008,2671307,1074,6357189.00,2671307,100.00,0.16,0.00
30-May-2024,2.44,2.49,2.34,2.37,2.404784144441265699,1925987,849,4631583.00,1925987,100.00,0.15,-0.07
29-May-2024,2.50,2.52,2.40,2.44,2.447278595765925951,2283380,812,5588067.00,2283380,100.00,0.12,-0.06
28-May-2024,2.40,2.55,2.40,2.48,2.420959648418486296,6565988,1028,15895992.00,6565988,100.00,0.15,0.08
27-May-2024,2.49,2.56,2.35,2.50,2.432887424971834738,3104001,1372,7551685.00,3104001,100.00,0.21,0.01
24-May-2024,2.45,2.50,2.38,2.45,2.408138992477211284,1552084,1037,3737634.00,1552084,100.00,0.12,0.00
23-May-2024,2.45,2.49,2.37,2.44,2.411625602516171840,2394749,1219,5775238.00,2394749,100.00,0.12,-0.01
22-May-2024,2.52,2.52,2.40,2.44,2.436173165524216204,1779800,1194,4335901.00,1779800,100.00,0.12,-0.08
21-May-2024,2.40,2.52,2.32,2.51,2.449299734891721800,3248484,1587,7956511.00,3248484,100.00,0.20,0.11
18-May-2024,2.36,2.52,2.35,2.40,2.415824426354984640,1647491,808,3980049.00,1647491,100.00,0.17,0.04
17-May-2024,2.45,2.47,2.45,2.47,2.465071739355640733,2316720,303,5710881.00,2316720,100.00,0.02,0.02
16-May-2024,2.49,2.54,2.49,2.50,2.515679582183230062,698488,209,1757172.00,698488,100.00,0.05,0.01
15-May-2024,2.59,2.59,2.54,2.54,2.553653571273877073,1038915,246,2653029.00,1038915,100.00,0.05,-0.05
14-May-2024,2.55,2.55,2.54,2.55,2.548848285785179759,2684086,288,6841328.00,2684086,100.00,0.01,0.00
13-May-2024,2.47,2.51,2.47,2.51,2.476435486568852902,1470686,320,3642059.00,1470686,100.00,0.04,0.04
10-May-2024,2.47,2.47,2.47,2.47,2.469999929901749682,3281109,301,8104339.00,3281109,100.00,0.00,0.00
9-May-2024,2.62,2.62,2.52,2.52,2.609689178313493837,1901090,336,4961254.00,1901090,100.00,0.10,-0.10
8-May-2024,2.48,2.57,2.48,2.57,2.519523462913057777,3849522,437,9698961.00,3849522,100.00,0.09,0.09
7-May-2024,2.58,2.58,2.53,2.53,2.563185008411385899,1164493,350,2984811.00,1164493,100.00,0.05,-0.05
6-May-2024,2.57,2.58,2.55,2.58,2.572577398439073526,4364203,464,11227250.00,4364203,100.00,0.03,0.01
3-May-2024,2.63,2.63,2.53,2.53,2.596273169995092302,1986675,378,5157951.00,1986675,100.00,0.10,-0.10
2-May-2024,2.61,2.61,2.55,2.58,2.570550410188520536,3026779,452,7780488.00,3026779,100.00,0.06,-0.03
30-April-2024,2.50,2.60,2.50,2.60,2.551379825211400803,3507437,368,8948804.00,3507437,100.00,0.10,0.10
29-April-2024,2.51,2.55,2.51,2.55,2.519992446695368170,13922383,466,35084300.00,13922383,100.00,0.04,0.04
26-April-2024,2.53,2.53,2.50,2.50,2.515979428890837958,4193454,260,10550644.00,4193454,100.00,0.03,-0.03
25-April-2024,2.47,2.53,2.45,2.53,2.477003858631462546,1965982,508,4869745.00,1965982,100.00,0.08,0.06
24-April-2024,2.53,2.53,2.48,2.49,2.490669403792443178,1767304,305,4401770.00,1767304,100.00,0.05,-0.04
23-April-2024,2.45,2.53,2.45,2.53,2.522103877815459504,2214159,654,5584339.00,2214159,100.00,0.08,0.08
22-April-2024,2.49,2.49,2.49,2.49,2.489998967947071055,455403,264,1133953.00,455403,100.00,0.00,0.00
19-April-2024,2.54,2.54,2.54,2.54,2.539998384602958484,346664,237,880526.00,346664,100.00,0.00,0.00
18-April-2024,2.59,2.59,2.59,2.59,2.589997948597720012,477722,284,1237299.00,477722,100.00,0.00,0.00
16-April-2024,2.64,2.64,2.64,2.64,2.639998882060690952,608262,282,1605811.00,608262,100.00,0.00,0.00
15-April-2024,2.80,2.80,2.68,2.69,2.705420476992109054,5838084,1846,15794472.00,5838084,100.00,0.12,-0.11
12-April-2024,2.90,2.90,2.77,2.82,2.822945738113240413,4431969,1683,12511208.00,4431969,100.00,0.13,-0.08
10-April-2024,2.74,2.80,2.73,2.77,2.757927887483282515,3401379,1237,9380758.00,3401379,100.00,0.07,0.03
9-April-2024,2.85,2.85,2.65,2.72,2.752026202024850814,2442254,1376,6721147.00,2442254,100.00,0.20,-0.13
8-April-2024,2.66,2.79,2.66,2.76,2.771807411490412957,5613149,2061,15558568.00,5613149,100.00,0.13,0.10
5-April-2024,2.67,2.70,2.60,2.66,2.653310845325330434,2523419,1287,6695415.00,2523419,100.00,0.10,-0.01
4-April-2024,2.64,2.68,2.55,2.61,2.627034710020926193,3932870,1482,10331786.00,3932870,100.00,0.13,-0.03
3-April-2024,2.59,2.63,2.55,2.61,2.596889119009946409,4285667,1305,11129402.00,4285667,100.00,0.08,0.02
2-April-2024,2.66,2.66,2.53,2.55,2.594751666049198109,3136462,1544,8138340.00,3136462,100.00,0.13,-0.11
1-April-2024,2.55,2.57,2.44,2.57,2.561284474391948970,7632912,2006,19550059.00,7632912,100.00,0.13,0.02
28-March-2024,2.41,2.49,2.35,2.45,2.405780379174496413,5145441,1350,12378801.00,5145441,100.00,0.14,0.04
27-March-2024,2.40,2.41,2.32,2.38,2.368247018261077957,4477337,1088,10603440.00,4477337,100.00,0.09,-0.02
26-March-2024,2.31,2.39,2.28,2.35,2.348007615542161021,6407423,1305,15044678.00,6407423,100.00,0.11,0.04
22-March-2024,2.32,2.40,2.25,2.32,2.328418044819466943,3947615,1016,9191698.00,3947615,100.00,0.15,0.00
21-March-2024,2.38,2.42,2.30,2.34,2.389341510238600376,4856279,1562,11603309.00,4856279,100.00,0.12,-0.04
20-March-2024,2.27,2.34,2.20,2.31,2.301276154535492551,9935944,1455,22865351.00,9935944,100.00,0.14,0.04
19-March-2024,2.20,2.25,2.15,2.23,2.197467542699461346,1821393,1023,4002452.00,1821393,100.00,0.10,0.03
18-March-2024,2.23,2.23,2.11,2.20,2.192990026808517015,2268682,1323,4975197.00,2268682,100.00,0.12,-0.03
15-March-2024,2.14,2.20,2.08,2.16,2.139902410147036967,1594633,1080,3412359.00,1594633,100.00,0.12,0.02
14-March-2024,1.94,2.13,1.94,2.12,2.066221510739416468,3084013,1700,6372254.00,3084013,100.00,0.19,0.18
13-March-2024,2.24,2.24,2.04,2.04,2.096453333318751049,3657406,2343,7667581.00,3657406,100.00,0.20,-0.20
12-March-2024,2.04,2.24,2.04,2.14,2.141144094330021509,3818339,1967,8175614.00,3818339,100.00,0.20,0.10
11-March-2024,2.18,2.25,2.11,2.14,2.171149122479652316,2358008,1739,5119587.00,2358008,100.00,0.14,-0.04
7-March-2024,2.14,2.20,2.06,2.18,2.118081979698239965,2078539,1766,4402516.00,2078539,100.00,0.14,0.04
6-March-2024,2.20,2.22,2.11,2.14,2.125224043749810626,2574274,2427,5470909.00,2574274,100.00,0.11,-0.06
5-March-2024,2.29,2.29,2.18,2.22,2.197611435785701195,3928720,2640,8633800.00,3928720,100.00,0.11,-0.07
4-March-2024,2.38,2.40,2.27,2.29,2.309681742643137903,1899689,2058,4387677.00,1899689,100.00,0.13,-0.09
2-March-2024,2.36,2.40,2.30,2.38,2.358664935192907996,568302,611,1340434.00,568302,100.00,0.10,0.02
1-March-2024,2.38,2.44,2.31,2.34,2.362228329067696877,1589837,1738,3755558.00,1589837,100.00,0.13,-0.04
29-February-2024,2.39,2.43,2.30,2.39,2.369589811765948829,1362984,1604,3229713.00,1362984,100.00,0.13,0.00
28-February-2024,2.58,2.59,2.35,2.39,2.406956119184019021,3935729,2550,9473127.00,3935729,100.00,0.24,-0.19
27-February-2024,2.58,2.58,2.35,2.47,2.514104955187364529,2988666,2106,7513820.00,2988666,100.00,0.23,-0.11
