Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-March-2023,153.00,160.00,153.00,158.30,159.483870967741935483,155,53,24720.00,115,74.19,7.00,5.30
29-March-2023,153.25,162.70,150.05,152.75,155.925041186161449752,4856,157,757172.00,4523,93.14,12.65,-0.50
28-March-2023,164.00,168.00,150.00,154.45,157.965830607051981097,2751,195,434564.00,2034,73.94,18.00,-9.55
27-March-2023,161.50,169.90,161.50,164.65,167.464285714285714285,1820,111,304785.00,1692,92.97,8.40,3.15
24-March-2023,165.70,168.10,165.05,165.10,166.812619502868068833,1046,124,174486.00,973,93.02,3.05,-0.60
23-March-2023,169.00,173.15,168.80,169.30,169.336683417085427135,796,54,134792.00,707,88.82,4.35,0.30
22-March-2023,180.00,180.00,168.90,169.70,170.096551724137931034,145,46,24664.00,55,37.93,11.10,-10.30
21-March-2023,168.80,172.70,165.10,166.50,167.228426395939086294,197,39,32944.00,141,71.57,7.60,-2.30
20-March-2023,165.00,168.25,161.85,167.30,165.807773109243697478,1904,91,315698.00,1735,91.12,6.40,2.30
17-March-2023,171.90,174.00,165.95,167.75,167.667322834645669291,508,58,85175.00,434,85.43,8.05,-4.15
16-March-2023,172.00,173.50,165.00,171.35,168.896280087527352297,2285,183,385928.00,1538,67.31,8.50,-0.65
15-March-2023,171.85,174.75,171.20,173.00,172.614130434782608695,368,58,63522.00,291,79.08,3.55,1.15
14-March-2023,170.20,170.95,165.35,170.25,168.659504132231404958,605,108,102039.00,564,93.22,5.60,0.05
13-March-2023,160.00,172.15,160.00,168.40,169.286593524217286593,3737,620,632624.00,3180,85.09,12.15,8.40
10-March-2023,168.55,174.40,165.10,171.95,171.129727022289005760,3993,288,683321.00,3389,84.87,9.30,3.40
9-March-2023,191.20,191.20,167.90,170.70,174.245411865130174989,2343,265,408257.00,1742,74.35,23.30,-20.50
8-March-2023,166.45,170.05,166.45,170.05,169.766037735849056603,265,42,44988.00,179,67.55,3.60,3.60
6-March-2023,153.00,172.05,153.00,167.90,168.268429487179487179,1248,158,209999.00,814,65.22,19.05,14.90
3-March-2023,172.35,173.30,167.05,167.80,170.673841059602649006,2416,297,412348.00,1400,57.95,6.25,-4.55
2-March-2023,171.90,175.75,168.15,171.15,172.057620041753653444,2395,291,412078.00,1099,45.89,7.60,-0.75
1-March-2023,180.95,180.95,161.60,167.40,168.374749384201180042,17457,1048,2939318.00,12725,72.89,19.35,-13.55
28-February-2023,174.80,191.00,173.00,180.15,184.618824029068944363,42382,2413,7824515.00,20232,47.74,18.00,5.35
27-February-2023,138.35,166.05,138.35,164.85,157.642525757667048261,16597,978,2616393.00,9795,59.02,27.70,26.50
24-February-2023,136.05,141.00,128.85,138.40,135.506726457399103139,1338,217,181308.00,433,32.36,12.15,2.35
23-February-2023,145.00,145.00,138.40,138.65,138.865468306527909176,10570,158,1467808.00,10470,99.05,6.60,-6.35
22-February-2023,141.55,144.00,137.55,138.00,140.351351351351351351,592,108,83088.00,259,43.75,6.45,-3.55
21-February-2023,142.00,143.30,138.80,143.15,141.771182225169955231,6031,74,855022.00,5793,96.05,4.50,1.15
20-February-2023,144.05,144.10,139.55,141.00,141.019643672910004568,2189,40,308692.00,2132,97.40,4.55,-3.05
17-February-2023,143.05,144.05,140.40,142.35,142.085846867749419953,862,77,122478.00,604,70.07,3.65,-0.70
16-February-2023,140.85,143.60,138.30,142.00,142.469401041666666666,1536,158,218833.00,1120,72.92,5.30,1.15
15-February-2023,137.10,142.00,135.10,138.25,137.351342910680824484,3202,197,439799.00,1871,58.43,6.90,1.15
14-February-2023,138.65,151.85,138.65,140.95,145.427860696517412935,3618,256,526158.00,2193,60.61,13.20,2.30
13-February-2023,159.90,159.90,143.35,151.45,148.945182012847965738,2335,102,347787.00,1590,68.09,16.55,-8.45
10-February-2023,161.60,166.00,145.55,150.15,154.396801218583396801,2626,286,405446.00,2106,80.20,20.45,-11.45
9-February-2023,159.60,161.90,156.20,159.45,158.343949044585987261,785,89,124300.00,619,78.85,5.70,-0.15
8-February-2023,161.25,163.20,157.70,160.05,159.869763205828779599,1098,103,175537.00,858,78.14,5.50,-1.20
7-February-2023,161.10,167.40,159.40,161.60,162.519408502772643253,541,57,87923.00,453,83.73,8.00,0.50
6-February-2023,160.15,165.80,160.00,164.90,163.286411149825783972,1435,153,234316.00,727,50.66,5.80,4.75
3-February-2023,168.90,169.80,163.00,164.10,164.981908920773549594,1603,100,264466.00,1437,89.64,6.80,-4.80
2-February-2023,171.70,172.95,165.90,169.75,169.070484581497797356,1362,53,230274.00,1083,79.52,7.05,-1.95
1-February-2023,179.25,179.25,171.00,173.00,173.232673267326732673,202,32,34993.00,164,81.19,8.25,-6.25
31-January-2023,167.90,174.85,167.00,174.00,171.127659574468085106,188,31,32172.00,153,81.38,7.85,6.10
30-January-2023,188.95,188.95,165.00,168.20,169.380826271186440677,1888,217,319791.00,1254,66.42,23.95,-20.75
27-January-2023,176.20,179.90,166.20,168.10,171.275215011727912431,1279,217,219061.00,1072,83.82,13.70,-8.10
25-January-2023,183.45,183.45,176.75,177.55,178.604210526315789473,475,72,84837.00,324,68.21,6.70,-5.90
24-January-2023,181.85,186.00,179.35,182.40,183.504322766570605187,1388,127,254704.00,945,68.08,6.65,0.55
23-January-2023,180.40,182.10,179.00,179.45,180.462203023758099352,463,65,83554.00,314,67.82,3.10,-0.95
20-January-2023,181.55,182.95,175.50,180.40,180.174175824175824175,1820,139,327917.00,705,38.74,7.45,-1.15
19-January-2023,181.90,182.80,179.00,180.05,180.045996592844974446,587,51,105687.00,509,86.71,3.80,-1.85
18-January-2023,182.55,184.75,179.85,181.70,181.904202558078830592,3831,141,696875.00,2975,77.66,4.90,-0.85
17-January-2023,184.75,187.15,180.00,180.45,181.723880597014925373,1340,168,243510.00,529,39.48,7.15,-4.30
16-January-2023,179.85,184.75,179.80,184.65,183.979515828677839851,537,52,98797.00,478,89.01,4.95,4.80
13-January-2023,187.50,187.50,180.00,182.25,185.659111297171221816,16721,209,3104406.00,1356,8.11,7.50,-5.25
12-January-2023,187.55,187.85,186.10,186.55,186.802469135802469135,324,72,60524.00,258,79.63,1.75,-1.00
11-January-2023,185.95,188.00,185.95,187.45,187.616279069767441860,86,36,16135.00,76,88.37,2.05,1.50
10-January-2023,186.75,189.00,184.60,186.45,186.955470737913486005,786,82,146947.00,514,65.39,4.40,-0.30
9-January-2023,195.25,195.25,184.85,188.00,187.997638167217760982,2117,104,397991.00,1481,69.96,10.40,-7.25
6-January-2023,193.90,194.95,187.65,189.95,191.563310069790628115,2006,123,384276.00,1237,61.66,7.30,-3.95
5-January-2023,189.95,194.05,189.90,191.10,190.891806722689075630,952,61,181729.00,228,23.95,4.15,1.15
4-January-2023,184.00,196.25,184.00,192.25,193.376607216922438822,2411,201,466231.00,496,20.57,12.25,8.25
3-January-2023,204.00,204.00,190.30,191.75,194.331829896907216494,1552,163,301603.00,1157,74.55,13.70,-12.25
2-January-2023,187.00,207.55,186.20,196.15,195.580114627460752554,4013,367,784863.00,2733,68.10,21.35,9.15
30-December-2022,190.00,193.60,187.55,188.25,190.669994128009395184,1703,183,324711.00,1241,72.87,6.05,-1.75
29-December-2022,186.30,190.70,186.30,188.85,188.089442815249266862,682,88,128277.00,391,57.33,4.40,2.55
28-December-2022,194.25,194.70,190.00,190.10,192.068965517241379310,290,69,55700.00,241,83.10,4.70,-4.15
27-December-2022,182.00,209.00,180.05,193.90,195.761891554569407849,7211,309,1411639.00,4433,61.48,28.95,11.90
26-December-2022,184.60,184.60,172.05,181.60,178.685714285714285714,1050,80,187620.00,848,80.76,12.55,-3.00
23-December-2022,171.75,180.30,171.75,176.55,176.511994949494949494,1584,165,279595.00,1265,79.86,8.55,4.80
22-December-2022,184.20,184.20,181.65,182.40,182.239018087855297157,774,103,141053.00,647,83.59,2.55,-1.80
21-December-2022,188.45,190.50,182.25,183.25,185.617565698478561549,1446,132,268403.00,1276,88.24,8.25,-5.20
20-December-2022,187.70,190.25,187.00,187.40,188.164759725400457665,437,62,82228.00,302,69.11,3.25,-0.30
19-December-2022,187.70,191.90,187.70,188.00,189.255720053835800807,743,66,140617.00,599,80.62,4.20,0.30
16-December-2022,187.00,190.35,187.00,189.15,189.220417633410672853,431,51,81554.00,401,93.04,3.35,2.15
15-December-2022,188.25,192.00,188.25,189.80,189.352941176470588235,323,80,61161.00,276,85.45,3.75,1.55
14-December-2022,188.80,189.65,188.40,188.75,188.775456919060052219,383,59,72301.00,368,96.08,1.25,-0.05
13-December-2022,190.00,191.75,188.00,188.50,189.291916167664670658,668,62,126447.00,616,92.22,3.75,-1.50
12-December-2022,192.00,192.00,188.35,190.05,189.918224299065420560,856,81,162570.00,624,72.90,3.65,-1.95
9-December-2022,190.95,191.25,188.65,191.10,189.756521739130434782,345,42,65466.00,262,75.94,2.60,0.15
8-December-2022,193.80,195.90,188.55,190.05,190.878021978021978021,910,68,173699.00,601,66.04,7.35,-3.75
7-December-2022,190.50,194.20,188.25,190.55,191.560581583198707592,619,70,118576.00,530,85.62,5.95,0.05
6-December-2022,195.00,195.00,192.20,192.20,193.994350282485875706,177,19,34337.00,174,98.30,2.80,-2.80
5-December-2022,191.55,195.50,191.50,193.45,193.752264251465103889,1877,137,363673.00,1609,85.72,4.00,1.90
2-December-2022,190.00,192.50,188.25,192.40,190.262329050973891421,2413,69,459103.00,2279,94.45,4.25,2.40
1-December-2022,189.25,192.00,186.55,190.10,188.860303154444899631,2441,118,461008.00,2067,84.68,5.45,0.85
30-November-2022,190.25,193.10,187.15,189.65,189.573650503202195791,1093,101,207204.00,814,74.47,5.95,-0.60
29-November-2022,188.00,191.55,186.60,191.40,188.671641791044776119,1072,77,202256.00,726,67.72,4.95,3.40
28-November-2022,189.25,193.25,187.30,189.05,189.233669676048858204,1883,119,356327.00,1405,74.61,5.95,-0.20
25-November-2022,187.20,189.30,183.75,187.55,186.419270833333333333,768,119,143170.00,472,61.46,5.55,0.35
24-November-2022,187.15,187.25,185.00,185.05,186.637583892617449664,447,45,83427.00,317,70.92,2.25,-2.10
23-November-2022,186.65,188.20,186.65,187.35,187.306748466257668711,326,41,61062.00,312,95.71,1.55,0.70
22-November-2022,198.00,198.00,183.40,184.90,185.610027855153203342,3231,120,599706.00,2817,87.19,14.60,-13.10
21-November-2022,190.20,190.95,186.75,188.55,188.104777870913663034,1193,109,224409.00,936,78.46,4.20,-1.65
18-November-2022,188.30,194.35,188.00,188.75,189.327342747111681643,779,104,147486.00,721,92.55,6.35,0.45
17-November-2022,191.60,193.05,190.60,192.45,192.121693121693121693,189,43,36311.00,168,88.89,2.45,0.85
16-November-2022,190.30,192.60,188.25,191.95,190.703703703703703703,486,70,92682.00,374,76.95,4.35,1.65
15-November-2022,191.55,191.55,191.25,191.25,191.269503546099290780,141,20,26969.00,136,96.45,0.30,-0.30
14-November-2022,193.65,196.10,189.95,191.50,191.588235294117647058,340,38,65140.00,309,90.88,6.15,-2.15
11-November-2022,191.05,194.95,189.10,193.65,192.267768595041322314,605,50,116322.00,450,74.38,5.85,2.60
10-November-2022,194.50,194.55,191.25,192.10,192.968036529680365296,438,69,84520.00,375,85.62,3.30,-2.40
9-November-2022,192.50,202.00,188.50,196.45,194.324302134646962233,2436,197,473374.00,1911,78.45,13.50,3.95
7-November-2022,193.50,193.80,187.00,192.95,191.541641701617735170,1669,146,319683.00,978,58.60,6.80,-0.55
4-November-2022,188.50,192.50,187.45,190.20,189.677837837837837837,1850,160,350904.00,1195,64.59,5.05,1.70
3-November-2022,187.05,190.60,187.00,189.20,188.687192118226600985,812,43,153214.00,658,81.03,3.60,2.15
2-November-2022,195.50,197.45,182.00,186.50,188.351925078043704474,4805,389,905031.00,3366,70.05,15.45,-9.00
1-November-2022,198.40,206.55,194.00,197.55,198.012534469791927801,3989,145,789872.00,3191,79.99,12.55,-0.85
31-October-2022,192.30,213.95,192.30,199.80,206.041790221364043859,14501,606,2987812.00,8298,57.22,21.65,7.50
28-October-2022,192.30,194.00,192.30,193.85,193.034782608695652173,115,28,22199.00,95,82.61,1.70,1.55
27-October-2022,194.80,197.05,191.00,192.65,196.271758934828311142,7135,442,1400399.00,6016,84.32,6.05,-2.15
25-October-2022,190.90,193.45,190.00,192.10,191.247863247863247863,234,36,44752.00,187,79.91,3.45,1.20
24-October-2022,194.00,199.55,189.55,192.80,194.281761006289308176,795,56,154454.00,586,73.71,10.00,-1.20
21-October-2022,189.95,195.65,189.95,193.80,193.801878736122971818,1171,93,226942.00,988,84.37,5.70,3.85
20-October-2022,191.90,192.10,188.00,188.85,189.814814814814814814,270,36,51250.00,225,83.33,4.10,-3.05
19-October-2022,188.90,193.50,187.55,191.55,191.207339449541284403,545,56,104208.00,440,80.73,5.95,2.65
